Nodo;Valor
101.119.11.11;0.00142447
101.119.11.17;0.00142447
101.119.11.209;0.000508964
101.119.11.8;0.000499085
103.126.53.123;0.000564564
103.15.158.128;0.00053229
103.15.158.129;0.000814751
103.2.117.8;0.000650633
103.214.220.220;0.000564564
103.231.98.196;0.00053229
103.243.221.109;0.000814751
103.243.221.87;0.00053229
103.243.223.145;0.00053229
103.38.120.36;0.00154712
103.76.40.123;0.000870351
104.116.163.47;0.000650633
104.116.163.52;0.000650633
104.116.163.60;0.000650633
104.116.199.36;0.000520682
104.16.161.13;0.000814751
104.16.163.13;0.000814751
104.16.78.166;0.000508964
104.16.84.36;0.000508964
104.17.120.107;0.00053229
104.18.100.194;0.000499085
104.193.19.59;0.000499085
104.244.36.20;0.000508964
104.244.37.20;0.000499085
104.244.38.20;0.000508964
104.244.42.200;0.000814751
104.244.42.8;0.000499085
104.28.18.232;0.00053229
104.47.124.7;0.000650633
104.71.131.107;0.000650633
104.72.70.169;0.000650633
104.74.27.78;0.00115374
104.74.38.130;0.000499085
104.74.46.180;0.000520682
104.74.49.161;0.00053229
104.77.174.10;0.000520682
104.77.174.16;0.000520682
104.77.174.72;0.000551604
104.77.174.8;0.000551604
104.98.29.100;0.000499085
107.154.150.167;0.000814751
107.178.254.65;0.000814751
111.221.29.253;0.000520682
113.29.17.20;0.000650633
117.18.232.200;0.000826469
117.18.237.29;0.00256749
117.18.237.70;0.000814751
119.81.99.200;0.00053229
121.0.0.41;0.00053229
121.0.0.42;0.000571881
128.30.52.21;0.000838076
128.63.2.53;0.000650633
13.107.160.201;0.000650633
13.107.3.1;0.000650633
13.107.3.128;0.000826469
13.107.4.50;0.000520682
13.107.5.88;0.000499085
13.114.139.82;0.00053229
13.211.167.211;0.000564564
13.211.225.170;0.000814751
13.211.4.94;0.000508964
13.228.42.167;0.00053229
13.32.126.41;0.000551604
13.32.126.99;0.000551604
13.33.25.70;0.00053229
13.35.144.6;0.000520682
13.35.146.101;0.000551604
13.35.146.111;0.00053229
13.35.146.115;0.000551604
13.35.146.12;0.00194604
13.35.146.128;0.000499085
13.35.146.129;0.00053229
13.35.146.24;0.000650633
13.35.146.28;0.00053229
13.35.146.29;0.00053229
13.35.146.31;0.000499085
13.35.146.38;0.000551604
13.35.146.48;0.000551604
13.35.146.49;0.000499085
13.35.146.56;0.00053229
13.35.146.57;0.000857391
13.35.146.60;0.00053229
13.35.146.61;0.000551604
13.35.146.69;0.00053229
13.35.146.75;0.00100894
13.35.146.85;0.000650633
13.35.146.89;0.000551604
13.35.146.90;0.000508964
13.35.146.99;0.000814751
13.35.148.106;0.000508964
13.35.148.144;0.000499085
13.35.148.59;0.000838076
13.35.149.60;0.000838076
13.55.50.68;0.000571881
13.68.93.109;0.000508964
136.144.62.48;0.000508964
144.48.166.166;0.000564564
146.82.224.215;0.000650633
149.135.82.148;0.000650633
149.135.82.89;0.000520682
149.135.83.134;0.000650633
149.135.83.158;0.000650633
149.135.83.21;0.000650633
149.135.83.22;0.000650633
149.135.83.28;0.000650633
150.101.174.187;0.000564564
150.101.217.196;0.000508964
151.101.0.134;0.000814751
151.101.192.233;0.000814751
151.101.2.49;0.000551604
151.101.24.134;0.000814751
151.101.24.64;0.000814751
151.101.30.2;0.000814751
151.101.30.49;0.00151205
151.101.64.134;0.000814751
151.101.64.233;0.000814751
151.139.128.14;0.000814751
151.139.130.5;0.00053229
156.154.66.196;0.000650633
156.154.68.196;0.000650633
157.240.8.18;0.000814751
157.240.8.23;0.000814751
157.240.8.35;0.000814751
157.55.133.11;0.000650633
162.159.24.179;0.000650633
162.159.25.38;0.000650633
162.159.7.226;0.000650633
162.88.61.21;0.000650633
172.17.0.5;0.0010219
172.17.0.7;0.0010219
172.17.0.8;0.0010219
172.217.167.66;0.00053229
172.217.167.67;0.0013802
172.217.167.68;0.000814751
172.217.167.77;0.000564564
172.217.194.154;0.000508964
172.217.194.157;0.000814751
172.217.25.131;0.000838076
172.217.25.136;0.000838076
172.217.25.138;0.0013802
172.217.25.142;0.00109968
172.217.25.144;0.000564564
172.217.25.161;0.000508964
172.217.25.162;0.000814751
172.217.25.163;0.000564564
172.217.25.166;0.000814751
172.217.25.35;0.000847955
172.217.25.42;0.000867269
172.217.25.46;0.000478229
172.85.88.4;0.000650633
173.194.221.94;0.000508964
173.201.65.102;0.000650633
173.241.248.143;0.00053229
173.241.248.220;0.00053229
173.245.58.128;0.000650633
173.245.58.219;0.000650633
173.245.59.117;0.000650633
173.245.59.131;0.000650633
173.245.59.167;0.000650633
173.245.59.72;0.000650633
176.28.50.165;0.00170979
18.179.232.18;0.00053229
18.184.104.180;0.00115374
18.194.169.124;0.000764798
18.195.161.8;0.000832507
182.161.72.137;0.00053229
182.161.72.146;0.00053229
