Nodo;Valor
101.119.11.11;-1
101.119.11.17;-1
101.119.11.209;-1
101.119.11.8;-1
103.126.53.123;-1
103.15.158.128;-1
103.15.158.129;-1
103.2.117.8;-1
103.214.220.220;-1
103.231.98.196;-1
103.243.221.109;-1
103.243.221.87;-1
103.243.223.145;-1
103.38.120.36;-1
103.76.40.123;-1
104.116.163.47;-1
104.116.163.52;-1
104.116.163.60;-1
104.116.199.36;-1
104.16.161.13;-1
104.16.163.13;-1
104.16.78.166;-1
104.16.84.36;-1
104.17.120.107;-1
104.18.100.194;-1
104.193.19.59;-1
104.244.36.20;-1
104.244.37.20;-1
104.244.38.20;-1
104.244.42.200;-1
104.244.42.8;-1
104.28.18.232;-1
104.47.124.7;-1
104.71.131.107;-1
104.72.70.169;-1
104.74.27.78;-1
104.74.38.130;-1
104.74.46.180;-1
104.74.49.161;-1
104.77.174.10;-1
104.77.174.16;-1
104.77.174.72;-1
104.77.174.8;-1
104.98.29.100;-1
107.154.150.167;-1
107.178.254.65;-1
111.221.29.253;-1
113.29.17.20;-1
117.18.232.200;-1
117.18.237.29;-1
117.18.237.70;-1
119.81.99.200;-1
121.0.0.41;-1
121.0.0.42;-1
128.30.52.21;-1
128.63.2.53;-1
13.107.160.201;-1
13.107.3.1;-1
13.107.3.128;-1
13.107.4.50;-1
13.107.5.88;-1
13.114.139.82;-1
13.211.167.211;-1
13.211.225.170;-1
13.211.4.94;-1
13.228.42.167;-1
13.32.126.41;-1
13.32.126.99;-1
13.33.25.70;-1
13.35.144.6;-1
13.35.146.101;-1
13.35.146.111;-1
13.35.146.115;-1
13.35.146.12;-1
13.35.146.128;-1
13.35.146.129;-1
13.35.146.24;-1
13.35.146.28;-1
13.35.146.29;-1
13.35.146.31;-1
13.35.146.38;-1
13.35.146.48;-1
13.35.146.49;-1
13.35.146.56;-1
13.35.146.57;-1
13.35.146.60;-1
13.35.146.61;-1
13.35.146.69;-1
13.35.146.75;-1
13.35.146.85;-1
13.35.146.89;-1
13.35.146.90;-1
13.35.146.99;-1
13.35.148.106;-1
13.35.148.144;-1
13.35.148.59;-1
13.35.149.60;-1
13.55.50.68;-1
13.68.93.109;-1
136.144.62.48;-1
144.48.166.166;-1
146.82.224.215;-1
149.135.82.148;-1
149.135.82.89;-1
149.135.83.134;-1
149.135.83.158;-1
149.135.83.21;-1
149.135.83.22;-1
149.135.83.28;-1
150.101.174.187;-1
150.101.217.196;-1
151.101.0.134;-1
151.101.192.233;-1
151.101.2.49;-1
151.101.24.134;-1
151.101.24.64;-1
151.101.30.2;-1
151.101.30.49;-1
151.101.64.134;-1
151.101.64.233;-1
151.139.128.14;-1
151.139.130.5;-1
156.154.66.196;-1
156.154.68.196;-1
157.240.8.18;-1
157.240.8.23;-1
157.240.8.35;-1
157.55.133.11;-1
162.159.24.179;-1
162.159.25.38;-1
162.159.7.226;-1
162.88.61.21;-1
172.17.0.5;-1
172.17.0.7;-1
172.17.0.8;-1
172.217.167.66;-1
172.217.167.67;-1
172.217.167.68;-1
172.217.167.77;-1
172.217.194.154;-1
172.217.194.157;-1
172.217.25.131;-1
172.217.25.136;-1
172.217.25.138;-1
172.217.25.142;-1
172.217.25.144;-1
172.217.25.161;-1
172.217.25.162;-1
172.217.25.163;-1
172.217.25.166;-1
172.217.25.35;-1
172.217.25.42;-1
172.217.25.46;-1
172.85.88.4;-1
173.194.221.94;-1
173.201.65.102;-1
173.241.248.143;-1
173.241.248.220;-1
173.245.58.128;-1
173.245.58.219;-1
173.245.59.117;-1
173.245.59.131;-1
173.245.59.167;-1
173.245.59.72;-1
176.28.50.165;-1
18.179.232.18;-1
18.184.104.180;-1
18.195.161.8;-1
182.161.72.137;-1
182.161.72.146;-1
182.161.72.148;-1
182.50.136.239;-1
184.26.160.192;-1
184.26.161.32;-1
184.84.165.128;-1
184.84.165.131;-1
184.85.248.128;-1
184.85.248.65;-1
184.85.248.66;-1
184.87.127.58;-1
185.84.60.27;-1
192.0.73.2;-1
192.0.76.3;-1
192.0.77.2;-1
192.0.77.32;-1
192.0.78.22;-1
192.0.78.23;-1
192.112.36.4;-1
192.12.94.30;-1
192.168.1.1;-1
192.168.1.103;-1
192.168.1.169;-1
192.168.1.17;-1
192.168.1.184;-1
192.168.1.186;-1
192.168.1.191;-1
192.168.1.192;-1
192.168.1.194;-1
192.168.1.250;-1
192.168.1.255;-1
192.168.1.33;-1
192.168.1.36;-1
192.168.1.37;-1
192.168.1.38;-1
192.168.1.39;-1
192.168.1.49;-1
192.168.1.6;-1
192.168.1.79;-1
192.189.54.33;-1
192.203.230.10;-1
192.228.79.201;-1
192.229.232.240;-1
192.229.237.25;-1
192.26.92.30;-1
192.31.80.30;-1
192.33.14.30;-1
192.33.4.12;-1
192.35.51.30;-1
192.36.148.17;-1
