Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.000496036;0.000360896;0.0493945;6.622e-05;0.480262;0.469349;3.12493
2;0.000526257;0.00038153;0.0496052;6.1183e-05;0.473597;0.466445;3.05144
3;0.0005247;0.000334192;0.0496032;5.9455e-05;0.471132;0.467117;3.04678
4;0.000505992;0.000338585;0.0497976;5.9318e-05;0.46923;0.463889;3.0501
5;0.000501686;0.00033208;0.0496582;6.1273e-05;0.467888;0.463415;3.05261
6;0.000514747;0.000333069;0.0492387;5.8862e-05;0.467504;0.46197;3.07275
7;0.000504235;0.000336698;0.0493952;5.9506e-05;0.46763;0.462726;3.13007
8;0.000519797;0.000375678;0.0496743;5.8294e-05;0.466251;0.462045;3.0654
9;0.000501511;0.000327494;0.0495846;6.2105e-05;0.466802;0.463237;3.12734
10;0.000514361;0.000331516;0.0494139;6.0808e-05;0.465216;0.462219;3.05793
11;0.00050407;0.00032826;0.0491256;5.9026e-05;0.465615;0.462918;3.13505
12;0.000508056;0.000333195;0.0496541;5.9587e-05;0.465743;0.462624;3.11878
13;0.000530027;0.000334203;0.0496109;5.9149e-05;0.465606;0.463961;3.06089
14;0.000524319;0.000327855;0.0492795;5.8339e-05;0.465045;0.462774;3.12471
15;0.000514085;0.000333683;0.0492447;6.0206e-05;0.465099;0.463154;3.06643
16;0.000507212;0.000338377;0.0495855;5.9731e-05;0.465444;0.46219;3.11423
17;0.000535236;0.000373445;0.0494249;5.8115e-05;0.465249;0.462156;3.06213
18;0.000505428;0.000329745;0.0493804;6.0242e-05;0.465003;0.462997;3.1437
19;0.000512196;0.000336559;0.0502407;5.8461e-05;0.463297;0.461957;3.13161
20;0.000501921;0.000334806;0.0493922;5.8719e-05;0.464775;0.462375;3.14151
21;0.000523076;0.000332221;0.0494929;5.9969e-05;0.463475;0.462724;3.05788
22;0.000510024;0.00033693;0.049228;5.7875e-05;0.463708;0.462475;3.14734
23;0.000515811;0.000359045;0.0492816;6.0491e-05;0.461812;0.461364;3.1056
24;0.000515422;0.000351446;0.04927;5.8553e-05;0.462828;0.461113;3.05299
25;0.000528067;0.000334818;0.049572;5.6752e-05;0.463043;0.461537;3.054
26;0.000501749;0.000328259;0.0490839;5.8053e-05;0.462204;0.461708;3.06077
27;0.000511101;0.000335765;0.049289;5.8518e-05;0.46306;0.462205;3.12281
28;0.000528774;0.000337603;0.0497741;5.8979e-05;0.463309;0.462285;3.13344
29;0.000513129;0.000341252;0.0492723;5.7598e-05;0.462769;0.461873;3.14661
30;0.000515546;0.000332203;0.0497289;6.2005e-05;0.463109;0.462508;3.12785
