Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.00190032;0.00658786;12.5175;0.00556712;26.4414;27.1663;0.218779
2;0.00163303;0.00641836;12.5138;0.00557479;26.4904;27.2106;0.216177
3;0.00166025;0.00644084;12.5207;0.00558531;26.5161;27.2425;0.213763
4;0.00162962;0.0064292;12.5161;0.00556562;26.5048;27.2585;0.214655
5;0.00168929;0.0064456;12.5168;0.00556308;26.5529;27.2817;0.211744
6;0.00166495;0.00652365;12.5199;0.00560136;26.5843;27.2799;0.213727
7;0.00164684;0.00649173;12.5261;0.0055743;26.6019;27.3019;0.210729
8;0.00170833;0.00656016;12.5406;0.00557042;26.6059;27.2935;0.216165
9;0.00167668;0.00643061;12.5342;0.00559005;26.62;27.2931;0.21404
10;0.00173334;0.00642394;12.5309;0.00555564;26.5949;27.2982;0.213802
11;0.00172103;0.00648598;12.5356;0.00559598;26.5999;27.28;0.215342
12;0.00173664;0.00658069;12.5464;0.00558741;26.5947;27.2808;0.215209
13;0.00168179;0.00650825;12.5422;0.00562359;26.5534;27.2787;0.215943
14;0.00164632;0.00650209;12.5353;0.00559634;26.5573;27.2863;0.215824
15;0.00170047;0.00642366;12.535;0.00558884;26.6134;27.2854;0.215074
16;0.00169023;0.00643801;12.5369;0.00561886;26.5658;27.2882;0.21344
17;0.00164606;0.00644358;12.5401;0.00558889;26.5643;27.2915;0.21215
18;0.0016579;0.0065153;12.5393;0.00559103;26.6282;27.347;0.214559
19;0.00167064;0.00642612;12.562;0.00560315;26.6861;27.3554;0.217559
20;0.00166813;0.00661429;12.5581;0.00557327;26.6088;27.3432;0.21139
21;0.00169246;0.00654274;12.5579;0.00560033;26.6013;27.3087;0.215022
22;0.0016973;0.00644523;12.5517;0.00559833;26.6012;27.309;0.213533
23;0.00166048;0.00645551;12.5523;0.00561708;26.6369;27.3212;0.214588
24;0.0016738;0.00649509;12.5593;0.00558741;26.6173;27.3231;0.21211
25;0.00166842;0.00646126;12.5408;0.00558221;26.5986;27.3512;0.216705
26;0.00171322;0.00647675;12.5625;0.00562492;26.5965;27.3613;0.215543
27;0.00169981;0.0065064;12.5579;0.00560135;26.6048;27.3548;0.213553
28;0.00165042;0.00653685;12.5618;0.00559483;26.6243;27.3602;0.213398
29;0.00170652;0.00645872;12.5621;0.00555615;26.6322;27.3562;0.215314
30;0.00169067;0.00653143;12.5558;0.00559436;26.5198;27.3256;0.214257
