Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.000526969;0.00156301;0.759322;0.00121682;1.69457;1.74246;0.0373898
2;0.000508274;0.00148628;0.759509;0.00122817;1.70655;1.75179;0.0377302
3;0.000521749;0.00151598;0.762281;0.00124857;1.71098;1.75639;0.0376137
4;0.000544273;0.00148567;0.762557;0.00123361;1.71412;1.75944;0.0378062
5;0.000525373;0.00151476;0.76306;0.00122439;1.71706;1.75929;0.0367892
6;0.000575893;0.00148168;0.762581;0.00123802;1.71864;1.75378;0.0368789
7;0.000535452;0.00147994;0.760254;0.00123392;1.71405;1.75485;0.0375418
8;0.000516047;0.00154097;0.761504;0.00124152;1.71363;1.7548;0.0367367
9;0.000518673;0.00152506;0.761145;0.00128022;1.7119;1.75349;0.0369508
10;0.000520494;0.00150965;0.761599;0.00124604;1.71326;1.7547;0.0375678
11;0.000512965;0.00148923;0.760601;0.00123548;1.71525;1.75664;0.0369057
12;0.000502149;0.00149479;0.761262;0.00123655;1.71647;1.75424;0.0366361
13;0.000522113;0.00153245;0.761482;0.00123127;1.71769;1.75465;0.0370228
14;0.000506174;0.00148734;0.761075;0.00122733;1.71607;1.75398;0.037641
15;0.000512136;0.00150337;0.762855;0.00123643;1.71878;1.75577;0.0371418
16;0.0005038;0.00149724;0.762821;0.00124706;1.71729;1.75419;0.0368046
17;0.000506526;0.00150505;0.76065;0.0012644;1.71749;1.75389;0.0369448
18;0.000496069;0.00151154;0.760722;0.00122245;1.71493;1.75334;0.0374054
19;0.000515408;0.00148913;0.760972;0.00122434;1.71649;1.75267;0.0365894
20;0.000550919;0.00147911;0.761186;0.00124939;1.71779;1.75413;0.0375315
21;0.000512829;0.00147979;0.760973;0.00122192;1.71481;1.75209;0.0377809
22;0.000516019;0.00155043;0.760456;0.00122822;1.71701;1.7565;0.0368011
23;0.000515582;0.00148305;0.761328;0.00123404;1.71814;1.75309;0.0367871
24;0.000516157;0.00148684;0.760868;0.00122301;1.71577;1.75305;0.037526
25;0.000503568;0.00151699;0.760987;0.00121752;1.7174;1.75324;0.0367633
26;0.000537297;0.00151807;0.760647;0.00122563;1.71649;1.75445;0.0374218
27;0.000517658;0.00147461;0.760647;0.00127436;1.71519;1.7544;0.0373758
28;0.000529242;0.00148011;0.761748;0.00125828;1.71592;1.75359;0.0367932
29;0.000510648;0.00150088;0.76065;0.00123064;1.71798;1.75396;0.03745
30;0.000573753;0.00149205;0.760778;0.00122378;1.7161;1.75472;0.0365076
