Iteracion;degree;closseness;harmonic;ASP;betweenness;percolation;pagerank
0;0.020757;0.0220441;0.0602595;5.321e-05;0.509379;0.508525;3.4237
1;0.0215389;0.0220846;0.0614775;6.2786e-05;0.511767;0.511169;3.37302
2;0.0205841;0.0221014;0.0614307;6.1076e-05;0.512107;0.512571;3.38359
3;0.0207216;0.0221045;0.0613727;6.1818e-05;0.511661;0.5135;3.44171
4;0.0205836;0.0222003;0.061714;6.4275e-05;0.515076;0.515796;3.47215
5;0.0207767;0.0223883;0.0613889;6.1441e-05;0.514101;0.514618;3.36268
6;0.0209444;0.0228031;0.0611546;6.4902e-05;0.516993;0.517695;3.4475
7;0.0208969;0.0223969;0.061528;6.4091e-05;0.519276;0.517201;3.37327
8;0.0206497;0.0225496;0.0608775;6.3065e-05;0.519139;0.517081;3.44584
9;0.0209992;0.0220639;0.0615283;6.6592e-05;0.518519;0.517954;3.38974
10;0.0208315;0.0225494;0.0616284;6.6219e-05;0.520368;0.516636;3.37001
11;0.0212476;0.0225562;0.0610024;6.4747e-05;0.519112;0.516943;3.37013
12;0.0207712;0.0221871;0.0615264;6.2844e-05;0.518375;0.517598;3.45076
13;0.0209001;0.0224653;0.0610209;6.4156e-05;0.518961;0.517694;3.45836
14;0.0206891;0.0225789;0.0611679;6.4937e-05;0.520635;0.518337;3.37202
15;0.0208475;0.0225984;0.0611755;6.387e-05;0.519307;0.518158;3.37754
16;0.0208511;0.0226113;0.0615195;6.3794e-05;0.521244;0.518444;3.38006
17;0.0210486;0.0220709;0.0616819;6.477e-05;0.521964;0.518633;3.43008
18;0.02086;0.022469;0.061346;7.0665e-05;0.521167;0.517787;3.47512
19;0.0209698;0.0220555;0.0613744;6.5513e-05;0.521805;0.519182;3.3589
20;0.0207104;0.0220902;0.0615571;6.5261e-05;0.520884;0.517949;3.36553
21;0.0208953;0.0224987;0.0608738;6.5837e-05;0.522211;0.5192;3.43149
22;0.02064;0.0219993;0.0617438;6.4689e-05;0.52148;0.520089;3.38509
23;0.0208755;0.0221024;0.0616008;6.565e-05;0.519762;0.518465;3.36538
24;0.0207082;0.0224981;0.0608296;7.0375e-05;0.520874;0.518417;3.45371
25;0.0207626;0.0225992;0.0611941;7.2611e-05;0.521005;0.518991;3.36746
26;0.0209405;0.0220464;0.0615551;6.7019e-05;0.520247;0.51813;3.37282
27;0.0206541;0.0220298;0.0616447;6.5474e-05;0.520377;0.517385;3.45965
28;0.0210547;0.0220808;0.0620562;6.4247e-05;0.521112;0.518945;3.38009
29;0.0209325;0.0220606;0.0617568;6.5885e-05;0.521517;0.51765;3.3678
