Iteracion;degree;closseness;harmonic;ASP;betweenness;percolation;pagerank
0;0.00170955;0.00674521;12.3818;0.00575668;26.1899;27.2833;0.214977
1;0.00170275;0.00664995;12.5351;0.00566515;26.4911;27.5847;0.215515
2;0.00168667;0.0065859;12.4424;0.00582032;26.39;27.3964;0.216847
3;0.00171994;0.00679818;12.4741;0.00596496;26.432;27.4178;0.21777
4;0.00165177;0.00654189;12.4649;0.00582338;26.3536;27.5183;0.213867
5;0.00176362;0.00661577;12.4764;0.0057809;26.345;27.3951;0.214807
6;0.00194649;0.00692197;12.4238;0.00594672;26.3516;27.3472;0.216351
7;0.00171233;0.00685827;12.4213;0.00597384;26.3444;27.3183;0.214682
8;0.00167119;0.00668052;12.4393;0.00590509;26.3559;27.363;0.213117
9;0.00169606;0.00667001;12.4407;0.00588315;26.3925;27.3385;0.214749
10;0.0017424;0.00671776;12.4309;0.00578592;26.3062;27.3511;0.217037
11;0.00177002;0.00671918;12.4395;0.00594299;26.2599;27.3608;0.216608
12;0.0018193;0.00661496;12.4338;0.00598714;26.4075;27.3502;0.213081
13;0.00178983;0.00675481;12.4427;0.00581108;26.3978;27.5006;0.216316
14;0.00183098;0.00681288;12.5021;0.00587377;26.5078;27.459;0.218108
15;0.00178111;0.00670829;12.5027;0.00586869;26.57;27.529;0.216346
16;0.00185105;0.00676416;12.5098;0.00586293;26.5465;27.433;0.214575
17;0.00172164;0.00668342;12.4713;0.00592819;26.4593;27.4384;0.215226
18;0.00175686;0.00669309;12.5134;0.00602004;26.5304;27.4364;0.21562
19;0.00176885;0.00661729;12.4439;0.00581875;26.4066;27.3818;0.213718
20;0.0018531;0.00686016;12.4444;0.0059799;26.4438;27.3685;0.214688
21;0.00168267;0.0066598;12.4611;0.00595603;26.4416;27.4545;0.219079
22;0.00176026;0.00674216;12.4488;0.00602193;26.4085;27.3777;0.215402
23;0.00173593;0.00671777;12.4467;0.00581709;26.3313;27.3563;0.213607
24;0.0017569;0.00678871;12.4713;0.00589127;26.4071;27.3656;0.215606
25;0.00174367;0.00660076;12.4463;0.00584496;26.2728;27.495;0.216029
26;0.00167912;0.00671341;12.509;0.00597287;26.5816;27.471;0.215773
27;0.00168433;0.00657071;12.5112;0.00582503;26.4235;27.4296;0.216716
28;0.00177264;0.00679022;12.5097;0.00599442;26.5093;27.4206;0.216271
29;0.00180313;0.00673564;12.504;0.00606281;26.453;27.3814;0.217921
30;0.00172017;0.00657326;12.5258;0.00580633;26.4967;27.4523;0.215813
31;0.00180531;0.00679598;12.5076;0.00583467;26.5135;27.4302;0.21453
32;0.00171567;0.00660801;12.5084;0.00579983;26.4509;27.4177;0.215579
33;0.00170196;0.00675104;12.5118;0.00594715;26.4778;27.3228;0.2175
34;0.00172106;0.00667622;12.4633;0.00599592;26.3951;27.3555;0.213066
35;0.00167658;0.00670385;12.4575;0.00581463;26.2877;27.3948;0.211671
36;0.00167478;0.00661579;12.4487;0.00582727;26.4161;27.3675;0.212811
37;0.0016826;0.00656832;12.4638;0.00582613;26.2731;27.3133;0.214369
38;0.00174736;0.0066644;12.4548;0.00600098;26.3935;27.3346;0.213995
39;0.00176631;0.00670544;12.4659;0.005985;26.3863;27.3394;0.215409
40;0.00179423;0.00669027;12.456;0.00583471;26.391;27.3318;0.215311
41;0.0016864;0.00664328;12.4664;0.00597691;26.391;27.3493;0.211846
42;0.00168691;0.00680364;12.4569;0.00594232;26.3865;27.3842;0.213594
43;0.00171748;0.0066176;12.4538;0.00598877;26.3862;27.405;0.215941
44;0.00165021;0.00673501;12.4502;0.00591479;26.3719;27.3172;0.213942
45;0.00170092;0.00679632;12.4416;0.00590067;26.3753;27.3232;0.212353
46;0.0017216;0.00667902;12.4591;0.00582709;26.3962;27.3573;0.21262
47;0.00175101;0.00668254;12.4503;0.00589419;26.3987;27.352;0.213153
48;0.00175815;0.00675614;12.4491;0.00587325;26.4023;27.3636;0.216873
49;0.00173346;0.0067839;12.4596;0.00591722;26.3943;27.3763;0.218062
50;0.00170706;0.00672022;12.4629;0.00584333;26.3685;27.3359;0.211744
51;0.00165917;0.0065769;12.4536;0.00583863;26.3022;27.3305;0.21843
52;0.00175246;0.00675661;12.4514;0.0058642;26.4036;27.3853;0.2148
53;0.00167328;0.0065907;12.4551;0.00595572;26.4069;27.3686;0.217592
54;0.00173253;0.00666485;12.4497;0.00581707;26.4167;27.3459;0.214183
55;0.0016925;0.00685248;12.4526;0.0058705;26.4373;27.3563;0.217104
56;0.00172093;0.0066612;12.4527;0.00587552;26.4549;27.3504;0.215989
