Nodo;Valor
Q0032;0.000113263
Q0050;0.00011077
Q0092;0.000192463
REP1;0.000217387
YAL001C;0.000154113
YAL002W;0.000523164
YAL003W;0.000245893
YAL005C;0.000163829
YAL007C;0.000702198
YAL009W;0.000412533
YAL010C;0.000603141
YAL012W;0.000362398
YAL013W;0.000114819
YAL015C;0.000612113
YAL016W;0.00116745
YAL017W;0.000480066
YAL019W;0.000382924
YAL021C;0.000964221
YAL023C;0.000423549
YAL024C;0.000319765
YAL025C;0.000112949
YAL026C;0.00016251
YAL027W;0.00060038
YAL029C;0.00103578
YAL032C;0.000755383
YAL033W;0.000258019
YAL034C;0.00040618
YAL035W;0.000940261
YAL036C;0.000246493
YAL041W;0.000477729
YAL042W;0.000137932
YAL043C;0.000732528
YAL044C;0.000423549
YAL047C;0.000119375
YAL049C;0.00033312
YAL053W;0.000698651
YAL056W;0.000423549
YAL059W;0.00058524
YAL061W;0.000264571
YAR002C-A;0.000535492
YAR002W;0.000162438
YAR003W;0.000846879
YAR007C;0.00109816
YAR009C;0.000120288
YAR014C;0.000466817
YAR015W;0.000423549
YAR018C;0.000207269
YAR019C;0.000331655
YAR042W;0.000132392
YAR044W;0.00037944
YAR073W;0.000221842
YBL002W;0.00174325
YBL003C;0.000369404
YBL004W;0.00105177
YBL007C;0.000972099
YBL008W;0.000107703
YBL015W;0.000263802
YBL016W;0.000201114
YBL017C;0.000377299
YBL018C;0.000258019
YBL021C;0.000250555
YBL022C;0.000448078
YBL023C;0.000392771
YBL024W;0.000335407
YBL026W;0.000685944
YBL029W;0.000126404
YBL030C;0.000222658
YBL032W;0.000778809
YBL033C;0.000423549
YBL034C;0.000148655
YBL035C;0.000769247
YBL036C;0.000552038
YBL037W;0.000739811
YBL038W;0.00142988
YBL039C;0.0012143
YBL041W;0.000242182
YBL044W;0.000170812
YBL045C;0.0010389
YBL046W;0.000460706
YBL047C;0.000687141
YBL049W;0.000839635
YBL050W;0.000287122
YBL051C;0.000337054
YBL056W;0.00102354
YBL058W;0.000504826
YBL061C;0.000134436
YBL063W;0.000423549
YBL064C;0.000446313
YBL066C;0.000134436
YBL074C;0.000195577
YBL075C;0.000161292
YBL076C;0.000634045
YBL080C;0.000135772
YBL084C;0.000135745
YBL085W;0.000321309
YBL087C;0.000605781
YBL088C;0.000247725
YBL090W;0.00018707
YBL091C;0.000116278
YBL093C;0.00133646
YBL101C;0.000423549
YBL104C;0.00029861
YBL105C;0.000307568
YBL108W;0.000118171
YBR001C;0.000143167
YBR007C;0.000423549
YBR009C;0.00342076
YBR010W;0.000271952
YBR011C;0.00116667
YBR014C;0.000153479
YBR017C;0.0027463
YBR018C;0.000390326
YBR025C;0.000415454
YBR028C;0.000272703
YBR030W;0.000423549
YBR034C;0.000423549
YBR035C;0.000114676
YBR039W;0.000904351
YBR044C;0.000116763
YBR049C;0.000721116
YBR052C;0.000423549
YBR055C;0.0032048
YBR056W;0.000423549
YBR057C;0.000459477
YBR058C;0.000319398
YBR059C;0.000514812
YBR060C;0.000714079
YBR063C;0.000128647
YBR065C;0.000266146
YBR067C;0.000423549
YBR069C;0.00073632
YBR073W;0.000423549
YBR078W;0.000120288
YBR079C;0.000932427
YBR080C;0.000219693
YBR081C;0.0012869
YBR082C;0.000304663
YBR083W;0.000286767
YBR084W;0.00074436
YBR085W;0.00058102
YBR086C;0.000115446
YBR087W;0.000709198
YBR088C;0.000499355
YBR089C-A;0.00100814
YBR092C;0.000423549
YBR094W;0.000252039
YBR095C;0.000166386
YBR097W;0.000117908
YBR098W;0.000110471
YBR101C;0.00031655
YBR102C;0.000997345
YBR103W;0.00136637
YBR105C;0.00017063
YBR107C;0.00153254
YBR109C;0.00183354
YBR112C;0.00013454
YBR114W;0.00148743
YBR115C;0.00043819
YBR117C;0.000610571
YBR118W;0.000370973
YBR119W;0.000567609
YBR120C;0.000169218
YBR121C;0.000207346
YBR122C;0.000179266
YBR123C;0.000852516
YBR125C;0.00056559
YBR126C;0.00217065
YBR127C;0.000459258
YBR128C;0.000268998
YBR129C;0.000113547
YBR130C;0.000581645
YBR133C;0.000316979
YBR135W;0.00151202
YBR136W;0.00045664
YBR139W;0.000339283
YBR140C;0.000236187
YBR142W;0.00105836
