Nodo;Valor
Q0032;0.000423729
Q0050;0.000423729
Q0092;0.000423729
REP1;0.00127119
YAL001C;0.000423729
YAL002W;0.0029661
YAL003W;0.00127119
YAL005C;0.000847458
YAL007C;0.00508475
YAL009W;0.00211864
YAL010C;0.00211864
YAL012W;0.00211864
YAL013W;0.000423729
YAL015C;0.00466102
YAL016W;0.00720339
YAL017W;0.0029661
YAL019W;0.00211864
YAL021C;0.00677966
YAL023C;0.000847458
YAL024C;0.00169492
YAL025C;0.000423729
YAL026C;0.000423729
YAL027W;0.00381356
YAL029C;0.00762712
YAL032C;0.00677966
YAL033W;0.000423729
YAL034C;0.0029661
YAL035W;0.00762712
YAL036C;0.00169492
YAL041W;0.00254237
YAL042W;0.000423729
YAL043C;0.00720339
YAL044C;0.000847458
YAL047C;0.000423729
YAL049C;0.00127119
YAL053W;0.00254237
YAL056W;0.000847458
YAL059W;0.00381356
YAL061W;0.00127119
YAR002C-A;0.0029661
YAR002W;0.000847458
YAR003W;0.00466102
YAR007C;0.00847458
YAR009C;0.000423729
YAR014C;0.00338983
YAR015W;0.000847458
YAR018C;0.00127119
YAR019C;0.00169492
YAR042W;0.000423729
YAR044W;0.00211864
YAR073W;0.00127119
YBL002W;0.0139831
YBL003C;0.00254237
YBL004W;0.0088983
YBL007C;0.00508475
YBL008W;0.000423729
YBL015W;0.00169492
YBL016W;0.000847458
YBL017C;0.00211864
YBL018C;0.000423729
YBL021C;0.00127119
YBL022C;0.0029661
YBL023C;0.00254237
YBL024W;0.00211864
YBL026W;0.00550847
YBL029W;0.000423729
YBL030C;0.00127119
YBL032W;0.00635593
YBL033C;0.000847458
YBL034C;0.000423729
YBL035C;0.00508475
YBL036C;0.00381356
YBL037W;0.00211864
YBL038W;0.00974576
YBL039C;0.00932203
YBL041W;0.00169492
YBL044W;0.000847458
YBL045C;0.00677966
YBL046W;0.00254237
YBL047C;0.00423729
YBL049W;0.00423729
YBL050W;0.000847458
YBL051C;0.00211864
YBL056W;0.00677966
YBL058W;0.0029661
YBL061C;0.000423729
YBL063W;0.000847458
YBL064C;0.00169492
YBL066C;0.000423729
YBL074C;0.00127119
YBL075C;0.000847458
YBL076C;0.00423729
YBL080C;0.000423729
YBL084C;0.000423729
YBL085W;0.00127119
YBL087C;0.00338983
YBL088C;0.00127119
YBL090W;0.000847458
YBL091C;0.000423729
YBL093C;0.00932203
YBL101C;0.000847458
YBL104C;0.00169492
YBL105C;0.00127119
YBL108W;0.000423729
YBR001C;0.000423729
YBR007C;0.000847458
YBR009C;0.0220339
YBR010W;0.00169492
YBR011C;0.00720339
YBR014C;0.000423729
YBR017C;0.0177966
YBR018C;0.00254237
YBR025C;0.0029661
YBR028C;0.00127119
YBR030W;0.000847458
YBR034C;0.000847458
YBR035C;0.000423729
YBR039W;0.00677966
YBR044C;0.000423729
YBR049C;0.00550847
YBR052C;0.000847458
YBR055C;0.0233051
YBR056W;0.000847458
YBR057C;0.00211864
YBR058C;0.00211864
YBR059C;0.00211864
YBR060C;0.0029661
YBR063C;0.000423729
YBR065C;0.00211864
YBR067C;0.000847458
YBR069C;0.00466102
YBR073W;0.000847458
YBR078W;0.000423729
YBR079C;0.00762712
YBR080C;0.00127119
YBR081C;0.0088983
YBR082C;0.000847458
YBR083W;0.00169492
YBR084W;0.00550847
YBR085W;0.00423729
YBR086C;0.000423729
YBR087W;0.00466102
YBR088C;0.0029661
YBR089C-A;0.00720339
YBR092C;0.000847458
YBR094W;0.00127119
YBR095C;0.000847458
YBR097W;0.000423729
YBR098W;0.000423729
YBR101C;0.00169492
YBR102C;0.00338983
YBR103W;0.00762712
YBR105C;0.000847458
YBR107C;0.00381356
YBR109C;0.0114407
YBR112C;0.000423729
YBR114W;0.00974576
YBR115C;0.00169492
YBR117C;0.00127119
YBR118W;0.00169492
YBR119W;0.00550847
YBR120C;0.000847458
YBR121C;0.00127119
YBR122C;0.000847458
YBR123C;0.00338983
YBR125C;0.0029661
YBR126C;0.0127119
YBR127C;0.00211864
YBR128C;0.000847458
YBR129C;0.000423729
YBR130C;0.00338983
YBR133C;0.00169492
YBR135W;0.00720339
YBR136W;0.00338983
YBR139W;0.00127119
YBR140C;0.000847458
YBR142W;0.00932203
YBR143C;0.00847458
YBR145W;0.000423729
YBR146W;0.00127119
YBR149W;0.00127119
YBR150C;0.000423729
YBR151W;0.000847458
YBR152W;0.00805085
YBR154C;0.00423729
YBR155W;0.00254237
YBR158W;0.00211864
YBR160W;0.0059322
YBR162C;0.00254237
YBR164C;0.000847458
YBR166C;0.00127119
YBR167C;0.0029661
YBR169C;0.00254237
YBR170C;0.00254237
YBR171W;0.00211864
YBR172C;0.000847458
YBR175W;0.00550847
YBR177C;0.000847458
YBR179C;0.000423729
YBR184W;0.000423729
YBR187W;0.000423729
YBR193C;0.00169492
YBR195C;0.00211864
YBR196C;0.000847458
YBR198C;0.0105932
YBR200W;0.00169492
YBR202W;0.00169492
YBR203W;0.000847458
YBR204C;0.000847458
YBR205W;0.00127119
YBR207W;0.00338983
YBR208C;0.00169492
YBR211C;0.000423729
YBR216C;0.00127119
YBR217W;0.0190678
YBR218C;0.000847458
YBR221C;0.00677966
YBR222C;0.000847458
YBR223C;0.000847458
YBR225W;0.00211864
YBR227C;0.000847458
YBR228W;0.000423729
YBR233W;0.00127119
YBR234C;0.0059322
YBR236C;0.00169492
YBR238C;0.00169492
YBR242W;0.000423729
YBR245C;0.00932203
YBR246W;0.000847458
YBR247C;0.0148305
YBR249C;0.00169492
YBR251W;0.0148305
YBR252W;0.000423729
YBR253W;0.0131356
YBR254C;0.0059322
YBR257W;0.000423729
YBR260C;0.00211864
YBR263W;0.000423729
YBR264C;0.000847458
YBR265W;0.00127119
YBR267W;0.00254237
YBR272C;0.00720339
YBR274W;0.00127119
YBR276C;0.000423729
YBR278W;0.00127119
YBR279W;0.00127119
YBR280C;0.00169492
YBR281C;0.000847458
YBR282W;0.000423729
YBR286W;0.000423729
YBR287W;0.00127119
YBR288C;0.00211864
YBR289W;0.00466102
YBR295W;0.000423729
YBR299W;0.000423729
YCL009C;0.000847458
YCL010C;0.00127119
YCL011C;0.00423729
YCL014W;0.00169492
YCL017C;0.00127119
YCL024W;0.000847458
YCL028W;0.00635593
YCL029C;0.000423729
YCL030C;0.0029661
YCL031C;0.000423729
YCL035C;0.000423729
YCL037C;0.00254237
YCL039W;0.00508475
YCL042W;0.000423729
YCL043C;0.00211864
YCL046W;0.000423729
YCL050C;0.000423729
YCL054W;0.00211864
YCL059C;0.0139831
YCR001W;0.000423729
YCR002C;0.00381356
YCR008W;0.000423729
YCR009C;0.00211864
YCR012W;0.00381356
YCR014C;0.000423729
YCR015C;0.000423729
YCR020C-A;0.000423729
YCR028C-A;0.00127119
YCR030C;0.00169492
YCR033W;0.00127119
YCR035C;0.00254237
YCR042C;0.00381356
YCR046C;0.00127119
YCR048W;0.000423729
YCR052W;0.000423729
YCR053W;0.00169492
YCR057C;0.0237288
YCR063W;0.000847458
YCR066W;0.000847458
YCR071C;0.000847458
YCR072C;0.00338983
YCR073C;0.000847458
YCR076C;0.000423729
YCR077C;0.00381356
YCR079W;0.00508475
YCR081W;0.00211864
YCR084C;0.00338983
YCR087W;0.000423729
YCR088W;0.00423729
YCR091W;0.00127119
YCR092C;0.00127119
YCR093W;0.0059322
YDL002C;0.00677966
YDL003W;0.0029661
YDL005C;0.0105932
YDL006W;0.0029661
YDL007W;0.00550847
YDL013W;0.00127119
YDL014W;0.00932203
YDL017W;0.00720339
YDL019C;0.000423729
YDL022W;0.000423729
YDL025C;0.00169492
YDL029W;0.0182203
YDL030W;0.0029661
YDL031W;0.00338983
YDL033C;0.000847458
YDL040C;0.00254237
YDL042C;0.00338983
YDL043C;0.00847458
YDL045W-A;0.000423729
YDL047W;0.0173729
YDL051W;0.00381356
YDL052C;0.00550847
YDL056W;0.00169492
YDL058W;0.00211864
YDL059C;0.0118644
YDL060W;0.00762712
YDL063C;0.000423729
YDL065C;0.00211864
YDL067C;0.00127119
YDL070W;0.000847458
YDL074C;0.000847458
YDL076C;0.00508475
YDL077C;0.000423729
YDL078C;0.00127119
YDL080C;0.00211864
YDL084W;0.000847458
YDL086W;0.00127119
YDL087C;0.00974576
YDL090C;0.00169492
YDL092W;0.000423729
YDL097C;0.0122881
YDL098C;0.00127119
YDL100C;0.00381356
YDL101C;0.00974576
YDL108W;0.000847458
YDL111C;0.0029661
YDL112W;0.00127119
YDL113C;0.000423729
YDL115C;0.000423729
YDL116W;0.00254237
YDL117W;0.000423729
YDL124W;0.000847458
YDL125C;0.000847458
YDL126C;0.00550847
YDL132W;0.00720339
YDL134C;0.00466102
YDL135C;0.000847458
YDL137W;0.00254237
YDL140C;0.0029661
YDL143W;0.000847458
YDL145C;0.0105932
YDL147W;0.0148305
YDL148C;0.00211864
YDL149W;0.000423729
YDL150W;0.00169492
YDL153C;0.000423729
YDL155W;0.000423729
YDL156W;0.00127119
YDL159W;0.000423729
YDL160C;0.00381356
YDL161W;0.000847458
YDL164C;0.00169492
YDL165W;0.00211864
YDL166C;0.000423729
YDL167C;0.000423729
YDL171C;0.00211864
YDL175C;0.00381356
YDL179W;0.000423729
YDL185W;0.0110169
YDL188C;0.0148305
YDL190C;0.00381356
YDL192W;0.0029661
YDL193W;0.00211864
YDL195W;0.00550847
YDL200C;0.00762712
YDL203C;0.000423729
YDL204W;0.000847458
YDL208W;0.00677966
YDL209C;0.00211864
YDL213C;0.0237288
YDL215C;0.000423729
YDL216C;0.0029661
YDL219W;0.00127119
YDL220C;0.00211864
YDL225W;0.0059322
YDL226C;0.000847458
YDL234C;0.000847458
YDL235C;0.000423729
YDR001C;0.000847458
YDR002W;0.00127119
YDR005C;0.000423729
YDR006C;0.000423729
YDR009W;0.000423729
YDR017C;0.00127119
YDR021W;0.00169492
YDR022C;0.000423729
YDR023W;0.00338983
YDR027C;0.000847458
YDR028C;0.0029661
YDR030C;0.00169492
YDR032C;0.00338983
YDR036C;0.00805085
YDR037W;0.00338983
YDR041W;0.00127119
YDR044W;0.000423729
YDR045C;0.000847458
YDR049W;0.000847458
YDR050C;0.000423729
YDR060W;0.0122881
YDR062W;0.00720339
YDR069C;0.00127119
YDR071C;0.00211864
YDR074W;0.000847458
YDR075W;0.00466102
YDR076W;0.000847458
YDR080W;0.00423729
YDR085C;0.000423729
YDR087C;0.00254237
YDR088C;0.00127119
YDR091C;0.00169492
YDR092W;0.00211864
YDR097C;0.0088983
YDR098C;0.000847458
YDR099W;0.00423729
