Nodo;Valor
Q0032;0
Q0050;0
Q0092;0
REP1;8.0508e-05
YAL001C;0
YAL002W;0.00228611
YAL003W;0.000147179
YAL005C;8.10934e-05
YAL007C;0.00789883
YAL009W;0.00266213
YAL010C;0.00319225
YAL012W;0.000415756
YAL013W;0
YAL015C;0.00297845
YAL016W;0.00904764
YAL017W;0.00333672
YAL019W;0.00022612
YAL021C;0.00914024
YAL023C;0
YAL024C;0
YAL025C;0
YAL026C;0
YAL027W;0.00355007
YAL029C;0.0153305
YAL032C;0.00103057
YAL033W;0
YAL034C;0.00150507
YAL035W;0.00721864
YAL036C;0.000239774
YAL041W;0.00158269
YAL042W;0
YAL043C;0.000616719
YAL044C;0
YAL047C;0
YAL049C;0
YAL053W;0.0033216
YAL056W;0
YAL059W;0.00483822
YAL061W;0
YAR002C-A;0.00228882
YAR002W;0
YAR003W;0.00550731
YAR007C;0.0094359
YAR009C;0
YAR014C;0.00153413
YAR015W;0
YAR018C;3.67593e-05
YAR019C;0.00187501
YAR042W;0
YAR044W;0.000180513
YAR073W;7.73323e-05
YBL002W;0.0207849
YBL003C;0.00304017
YBL004W;0.0188288
YBL007C;0.00480352
YBL008W;0
YBL015W;0.00047932
YBL016W;2.62811e-05
YBL017C;0.000272795
YBL018C;0
YBL021C;0.000657519
YBL022C;0.00133744
YBL023C;0.000757273
YBL024W;0.000254046
YBL026W;0.00512718
YBL029W;0
YBL030C;0.000500397
YBL032W;0.00357283
YBL033C;0
YBL034C;0
YBL035C;0.00237657
YBL036C;0.000978614
YBL037W;0.00319225
YBL038W;0.00915384
YBL039C;0.0216746
YBL041W;9.70734e-05
YBL044W;0.000632034
YBL045C;0.0127619
YBL046W;0.000753068
YBL047C;0.0038945
YBL049W;0.00814281
YBL050W;1.43698e-06
YBL051C;0.00115885
YBL056W;0.00711867
YBL058W;0.00147201
YBL061C;0
YBL063W;0
YBL064C;0.000219013
YBL066C;0
YBL074C;3.35781e-05
YBL075C;0.000140624
YBL076C;0.00664903
YBL080C;0
YBL084C;0
YBL085W;0
YBL087C;0.00472403
YBL088C;0.000570567
YBL090W;0
YBL091C;0
YBL093C;0.00245292
YBL101C;0
YBL104C;0.00206
YBL105C;0
YBL108W;0
YBR001C;0
YBR007C;0
YBR009C;0.0684412
YBR010W;0.000715857
YBR011C;0.0125432
YBR014C;0
YBR017C;0.0341689
YBR018C;0.00103785
YBR025C;0.00309618
YBR028C;0
YBR030W;0
YBR034C;0
YBR035C;0
YBR039W;0.0116156
YBR044C;0
YBR049C;0.00507247
YBR052C;0
YBR055C;0.0539068
YBR056W;0
YBR057C;0.00167428
YBR058C;0.000364268
YBR059C;0.00170806
YBR060C;2.15547e-06
YBR063C;0
YBR065C;8.64855e-06
YBR067C;0
YBR069C;0.00543518
YBR073W;0
YBR078W;0
YBR079C;0.00834445
YBR080C;0.000310613
YBR081C;0.00886216
YBR082C;0.00159648
YBR083W;0.000486415
YBR084W;0.00582847
YBR085W;0.00436909
YBR086C;0
YBR087W;0.00215728
YBR088C;0.0030421
YBR089C-A;0.00909792
YBR092C;0
YBR094W;0
YBR095C;0
YBR097W;0
YBR098W;0
YBR101C;0.000314349
YBR102C;0.00640364
YBR103W;0.0167635
YBR105C;0.000407794
YBR107C;0.00956812
YBR109C;0.022651
YBR112C;0
YBR114W;0.0166989
YBR115C;0.00159648
YBR117C;0
YBR118W;0.00165493
YBR119W;3.59116e-05
YBR120C;6.49815e-05
YBR121C;0.000266689
YBR122C;3.329e-05
YBR123C;0.00498236
YBR125C;0.00246173
YBR126C;0.0343169
YBR127C;0.00229225
YBR128C;0.00159648
YBR129C;0
YBR130C;0.00218303
YBR133C;0.000260004
YBR135W;0.0119685
YBR136W;0.00139906
YBR139W;0
YBR140C;0.000227978
YBR142W;0.00772108
YBR143C;0.0137574
YBR145W;0
YBR146W;0
YBR149W;0
YBR150C;0
YBR151W;0
YBR152W;0.00397583
YBR154C;0.00184284
YBR155W;0.000540255
YBR158W;0.000477316
YBR160W;0.00636767
YBR162C;0.00162975
YBR164C;0
YBR166C;0
YBR167C;1.50883e-05
YBR169C;0.00141211
YBR170C;0.000766417
YBR171W;3.59244e-07
YBR172C;0
YBR175W;0.00662922
YBR177C;0
YBR179C;0
YBR184W;0
YBR187W;0
YBR193C;3.80604e-06
YBR195C;0.00223988
YBR196C;3.49132e-05
YBR198C;0.0152453
YBR200W;0
YBR202W;0.00159648
YBR203W;0.000368692
YBR204C;0
YBR205W;0.000790914
YBR207W;0.003371
YBR208C;0.00110918
YBR211C;0
YBR216C;0
YBR217W;0.0291843
YBR218C;0.000173698
YBR221C;0.00799241
YBR222C;0
YBR223C;0.00013584
YBR225W;6.12648e-06
YBR227C;0.000124514
YBR228W;0
YBR233W;4.97974e-05
YBR234C;0.00397939
YBR236C;3.17624e-05
YBR238C;0.00159648
YBR242W;0
YBR245C;0.0116521
YBR246W;0
YBR247C;0.0184739
YBR249C;7.85953e-05
YBR251W;0.0300554
YBR252W;0
YBR253W;0.00876613
YBR254C;0.0158422
YBR257W;0
YBR260C;0.00024806
YBR263W;0
YBR264C;1.88197e-05
YBR265W;0
YBR267W;2.95824e-05
YBR272C;0.00277259
YBR274W;0.00165536
YBR276C;0
YBR278W;1.19241e-05
YBR279W;1.33203e-05
YBR280C;0.00319225
YBR281C;5.70313e-05
YBR282W;0
YBR286W;0
YBR287W;0
YBR288C;8.20788e-05
YBR289W;0.00710306
YBR295W;0
YBR299W;0
YCL009C;0
YCL010C;0
YCL011C;0.004607
YCL014W;0.000427554
YCL017C;0
YCL024W;5.72347e-05
YCL028W;0.00730657
YCL029C;0
YCL030C;0.0010235
YCL031C;0
YCL035C;0
YCL037C;0.000943158
YCL039W;0.0193382
YCL042W;0
YCL043C;0.000723946
YCL046W;0
YCL050C;0
YCL054W;0.000253815
YCL059C;0.00612333
YCR001W;0
YCR002C;0.00229626
YCR008W;0
YCR009C;0.00225834
YCR012W;0.00468286
YCR014C;0
YCR015C;0
YCR020C-A;0
YCR028C-A;0.000105162
YCR030C;0.00113566
YCR033W;3.91002e-05
YCR035C;0
YCR042C;0.00268154
YCR046C;0.000150888
YCR048W;0
YCR052W;0
YCR053W;0.000460634
YCR057C;0.0338273
YCR063W;0
YCR066W;4.1034e-06
YCR071C;3.329e-05
YCR072C;2.21162e-05
YCR073C;0.000122507
YCR076C;0
YCR077C;0.000656211
YCR079W;0.00400284
YCR081W;5.72941e-05
YCR084C;0.00617773
YCR087W;0
YCR088W;0.00604149
YCR091W;0
YCR092C;0.000732143
YCR093W;0.00733429
YDL002C;0.00826609
YDL003W;0.00163125
YDL005C;0.0151368
YDL006W;0.00440001
YDL007W;0.00102622
YDL013W;0.00159648
YDL014W;0.00731341
YDL017W;0.0104549
YDL019C;0
YDL022W;0
YDL025C;0.00275181
YDL029W;0.0358861
YDL030W;2.74366e-05
YDL031W;0.000256246
YDL033C;0
YDL040C;0.000901352
YDL042C;0.000724313
YDL043C;0.019333
YDL045W-A;0
YDL047W;0.0368731
YDL051W;0.00267282
YDL052C;0.00826629
YDL056W;0.00159648
YDL058W;0.000514352
YDL059C;0.0195693
YDL060W;0.00705291
YDL063C;0
YDL065C;0.000845951
YDL067C;0.00319225
YDL070W;0.00159648
YDL074C;7.18489e-07
YDL076C;0.0043069
YDL077C;0
YDL078C;0
YDL080C;0.000289477
YDL084W;0
YDL086W;0
YDL087C;0.00524446
YDL090C;0.00159648
YDL092W;0
YDL097C;0.00771972
YDL098C;5.38796e-06
YDL100C;0.00655611
YDL101C;0.0146482
YDL108W;0
YDL111C;0.000491842
YDL112W;0.00500629
YDL113C;0
YDL115C;0
YDL116W;0.000744971
YDL117W;0
YDL124W;3.82511e-05
YDL125C;0
YDL126C;0.0103683
YDL132W;0.0100014
YDL134C;0.00336819
YDL135C;0
YDL137W;0.0013107
YDL140C;0.00258294
YDL143W;0
YDL145C;0.014018
YDL147W;0.0153662
YDL148C;0.000453931
YDL149W;0
YDL150W;0
YDL153C;0
YDL155W;0
YDL156W;0.000238127
YDL159W;0
YDL160C;0.00558101
YDL161W;0
YDL164C;0.0017298
YDL165W;0.00319225
YDL166C;0
YDL167C;0
YDL171C;0.00119015
YDL175C;0.00341811
YDL179W;0
YDL185W;0.0327109
YDL188C;0.0198129
YDL190C;0.00675395
YDL192W;0.00301042
YDL193W;0.000378025
YDL195W;0.00615369
YDL200C;0.00677629
YDL203C;0
YDL204W;0.000225229
YDL208W;0.00412376
YDL209C;6.46483e-05
YDL213C;0.0426177
YDL215C;0
YDL216C;0.00638162
YDL219W;0
YDL220C;0.000950767
YDL225W;0.00818924
YDL226C;0
YDL234C;0
YDL235C;0
YDR001C;0
YDR002W;7.14163e-05
YDR005C;0
YDR006C;0
YDR009W;0
YDR017C;0
YDR021W;9.40596e-05
YDR022C;0
YDR023W;0.00327116
YDR027C;0
YDR028C;0.00636774
