Nodo;Valor
Q0032;0.205972
Q0050;0.209008
Q0092;0.156675
REP1;0.240955
YAL001C;0.166938
YAL002W;0.223215
YAL003W;0.245838
YAL005C;0.225773
YAL007C;0.263377
YAL009W;0.217138
YAL010C;0.220709
YAL012W;0.23055
YAL013W;0.20483
YAL015C;0.284702
YAL016W;0.257968
YAL017W;0.248901
YAL019W;0.210625
YAL021C;0.270908
YAL023C;0
YAL024C;0.208014
YAL025C;0.208455
YAL026C;0.160078
YAL027W;0.253512
YAL029C;0.279005
YAL032C;0.246537
YAL033W;0.00169492
YAL034C;0.25271
YAL035W;0.283408
YAL036C;0.264457
YAL041W;0.208765
YAL042W;0.187359
YAL043C;0.248127
YAL044C;0
YAL047C;0.201468
YAL049C;0.189416
YAL053W;0.194483
YAL056W;0
YAL059W;0.254836
YAL061W;0.227266
YAR002C-A;0.227985
YAR002W;0.236973
YAR003W;0.242406
YAR007C;0.285113
YAR009C;0.227278
YAR014C;0.265436
YAR015W;0
YAR018C;0.230165
YAR019C;0.249941
YAR042W;0.20491
YAR044W;0.217699
YAR073W;0.244105
YBL002W;0.301557
YBL003C;0.268749
YBL004W;0.30774
YBL007C;0.235355
YBL008W;0.226028
YBL015W;0.260904
YBL016W;0.197585
YBL017C;0.226181
YBL018C;0.00169492
YBL021C;0.242867
YBL022C;0.256253
YBL023C;0.249259
YBL024W;0.231104
YBL026W;0.272018
YBL029W;0.195303
YBL030C;0.257778
YBL032W;0.274714
YBL033C;0
YBL034C;0.193374
YBL035C;0.233474
YBL036C;0.249395
YBL037W;0.173436
YBL038W;0.263619
YBL039C;0.29481
YBL041W;0.237846
YBL044W;0.243741
YBL045C;0.292977
YBL046W;0.208599
YBL047C;0.264795
YBL049W;0.236803
YBL050W;0.150325
YBL051C;0.255524
YBL056W;0.284509
YBL058W;0.228719
YBL061C;0.192671
YBL063W;0
YBL064C;0.175841
YBL066C;0.192671
YBL074C;0.221242
YBL075C;0.22034
YBL076C;0.275032
YBL080C;0.201974
YBL084C;0.16866
YBL085W;0.179218
YBL087C;0.249767
YBL088C;0.243808
YBL090W;0.212224
YBL091C;0.204122
YBL093C;0.231753
YBL101C;0
YBL104C;0.245208
YBL105C;0.167555
YBL108W;0.222738
YBR001C;0.179814
YBR007C;0
YBR009C;0.334873
YBR010W;0.253372
YBR011C;0.289997
YBR014C;0.186002
YBR017C;0.298768
YBR018C;0.269517
YBR025C;0.272327
YBR028C;0.222738
YBR030W;0
YBR034C;0
YBR035C;0.22044
YBR039W;0.302542
