Nodo;Valor
Q0032;0
Q0050;0
Q0092;0
REP1;8.21322e-09
YAL001C;0
YAL002W;3.48357e-07
YAL003W;2.89619e-08
YAL005C;9.00891e-09
YAL007C;6.68899e-07
YAL009W;4.23722e-07
YAL010C;6.62424e-07
YAL012W;1.00234e-08
YAL013W;0
YAL015C;2.77614e-07
YAL016W;1.52255e-06
YAL017W;2.9165e-07
YAL019W;1.12734e-07
YAL021C;1.15097e-06
YAL023C;0
YAL024C;0
YAL025C;0
YAL026C;0
YAL027W;6.66527e-07
YAL029C;1.21319e-06
YAL032C;2.41717e-07
YAL033W;0
YAL034C;8.9896e-08
YAL035W;7.60262e-07
YAL036C;1.78449e-08
YAL041W;3.02175e-07
YAL042W;0
YAL043C;1.65147e-07
YAL044C;0
YAL047C;0
YAL049C;0
YAL053W;6.8594e-07
YAL056W;0
YAL059W;5.14951e-07
YAL061W;0
YAR002C-A;4.37641e-07
YAR002W;0
YAR003W;1.03895e-06
YAR007C;1.36734e-06
YAR009C;0
YAR014C;8.73627e-08
YAR015W;0
YAR018C;5.52522e-09
YAR019C;3.52856e-07
YAR042W;0
YAR044W;8.31802e-08
YAR073W;1.93015e-08
YBL002W;2.88809e-06
YBL003C;1.12296e-07
YBL004W;6.87498e-07
YBL007C;1.05374e-06
YBL008W;0
YBL015W;6.15018e-09
YBL016W;5.44446e-09
YBL017C;3.84504e-08
YBL018C;0
YBL021C;6.44453e-08
YBL022C;1.7416e-07
YBL023C;8.90434e-08
YBL024W;3.56029e-08
YBL026W;7.32313e-07
YBL029W;0
YBL030C;2.11169e-09
YBL032W;6.625e-07
YBL033C;0
YBL034C;0
YBL035C;4.85571e-07
YBL036C;1.34852e-07
YBL037W;6.62717e-07
YBL038W;1.96438e-06
YBL039C;1.59473e-06
YBL041W;3.99883e-09
YBL044W;0
YBL045C;1.06465e-06
YBL046W;6.96799e-08
YBL047C;5.50771e-07
YBL049W;9.56131e-07
YBL050W;4.79615e-10
YBL051C;1.24675e-08
YBL056W;1.18769e-06
YBL058W;1.42057e-07
YBL061C;0
YBL063W;0
YBL064C;2.39665e-08
YBL066C;0
YBL074C;5.59398e-09
YBL075C;4.4027e-08
YBL076C;3.48377e-07
YBL080C;0
YBL084C;0
YBL085W;0
YBL087C;9.38462e-07
YBL088C;1.50074e-08
YBL090W;0
YBL091C;0
YBL093C;4.93706e-07
YBL101C;0
YBL104C;1.46264e-07
YBL105C;0
YBL108W;0
YBR001C;0
YBR007C;0
YBR010W;2.01738e-08
YBR011C;1.78072e-06
YBR014C;0
YBR017C;6.60188e-06
YBR018C;2.67705e-08
YBR025C;9.73786e-08
YBR028C;0
YBR030W;0
YBR034C;0
YBR035C;0
YBR039W;7.43807e-07
YBR044C;0
YBR049C;3.93911e-07
YBR052C;0
YBR056W;0
YBR057C;3.56559e-07
YBR058C;3.17501e-08
YBR059C;3.55725e-07
YBR060C;4.97437e-10
YBR063C;0
YBR065C;1.44538e-09
YBR067C;0
YBR069C;6.33647e-07
YBR073W;0
YBR078W;0
YBR079C;9.16583e-07
YBR080C;9.69028e-10
YBR081C;1.50969e-06
YBR082C;3.31172e-07
YBR083W;2.20599e-08
YBR084W;6.99777e-07
YBR085W;2.16277e-07
YBR086C;0
YBR087W;4.67887e-07
YBR088C;5.44323e-07
YBR089C-A;1.56515e-06
YBR092C;0
YBR094W;0
YBR095C;0
YBR097W;0
YBR098W;0
YBR101C;1.29387e-08
YBR102C;1.33153e-06
YBR103W;2.19282e-06
YBR105C;1.899e-08
YBR107C;1.98845e-06
YBR109C;3.6588e-06
YBR112C;0
YBR114W;2.40539e-06
YBR115C;3.31473e-07
YBR117C;0
YBR118W;3.66742e-07
YBR119W;1.20598e-08
YBR120C;2.11169e-09
YBR121C;7.0847e-09
YBR122C;1.14337e-09
YBR123C;1.02457e-06
YBR125C;3.46889e-07
YBR126C;4.26914e-06
YBR127C;4.86015e-07
YBR128C;3.31589e-07
YBR129C;0
YBR130C;4.11314e-07
YBR133C;0
YBR135W;2.49976e-06
YBR136W;1.58022e-07
YBR139W;0
YBR140C;4.21923e-08
YBR142W;1.06871e-06
YBR143C;2.19303e-06
YBR145W;0
YBR146W;0
YBR149W;0
YBR150C;0
YBR151W;0
YBR152W;7.7928e-07
YBR154C;1.66491e-07
YBR155W;1.25498e-07
YBR158W;2.88924e-08
YBR160W;9.7008e-07
YBR162C;3.51103e-07
YBR164C;0
YBR166C;0
YBR167C;5.81775e-09
YBR169C;6.6932e-08
YBR170C;1.05669e-07
YBR171W;2.36461e-10
YBR172C;0
YBR175W;1.217e-06
YBR177C;0
YBR179C;0
YBR184W;0
YBR187W;0
YBR193C;1.2597e-09
YBR195C;4.78388e-07
YBR196C;8.97062e-09
YBR198C;1.87712e-06
YBR200W;0
YBR202W;3.31289e-07
YBR203W;1.24453e-08
YBR204C;0
YBR205W;8.39838e-08
YBR207W;4.55018e-07
YBR208C;6.21587e-08
YBR211C;0
YBR216C;0
YBR217W;5.07883e-06
YBR218C;0
YBR221C;1.55178e-06
YBR222C;0
YBR223C;2.05115e-08
YBR225W;3.15157e-09
YBR227C;6.58146e-09
YBR228W;0
YBR233W;5.13143e-08
YBR234C;9.08177e-07
YBR236C;5.82331e-09
YBR238C;3.31326e-07
YBR242W;0
YBR245C;1.56841e-06
YBR246W;0
YBR247C;2.92638e-06
YBR249C;0
YBR251W;7.86311e-06
YBR252W;0
YBR253W;2.07297e-06
YBR254C;2.85953e-06
YBR257W;0
YBR260C;4.20261e-08
YBR263W;0
YBR264C;5.83964e-09
YBR265W;0
YBR267W;9.03846e-08
YBR272C;5.26768e-07
YBR274W;6.62707e-07
YBR276C;0
YBR278W;3.32216e-09
YBR279W;4.10187e-09
YBR280C;6.62733e-07
YBR281C;1.40481e-08
YBR282W;0
YBR286W;0
YBR287W;0
YBR288C;2.15812e-08
YBR289W;1.46441e-06
YBR295W;0
YBR299W;0
YCL009C;0
YCL010C;0
YCL011C;1.0304e-06
YCL014W;3.92949e-08
YCL017C;0
YCL024W;5.3897e-09
YCL028W;1.05527e-06
YCL029C;0
YCL030C;2.91891e-07
YCL031C;0
YCL035C;0
YCL037C;7.69487e-08
YCL039W;1.54289e-06
YCL042W;0
YCL043C;5.15545e-08
YCL046W;0
YCL050C;0
YCL054W;1.92963e-08
YCL059C;1.36379e-06
YCR001W;0
YCR002C;1.38033e-07
YCR008W;0
YCR009C;3.81337e-07
YCR012W;5.27828e-07
YCR014C;0
YCR015C;0
YCR020C-A;0
YCR028C-A;1.62977e-08
YCR030C;6.8714e-08
YCR033W;7.57481e-09
YCR035C;0
YCR042C;4.50218e-07
YCR046C;4.9817e-09
YCR048W;0
YCR052W;0
YCR053W;3.18287e-08
YCR063W;0
YCR066W;1.20206e-09
YCR071C;1.14337e-09
YCR072C;7.8231e-09
YCR073C;2.07097e-08
YCR076C;0
YCR077C;2.32516e-07
YCR079W;9.237e-07
YCR081W;1.16899e-08
YCR084C;1.11025e-06
YCR087W;0
YCR088W;7.20828e-07
YCR091W;0
YCR092C;4.82191e-08
YCR093W;7.82e-07
YDL002C;1.5492e-06
YDL003W;3.42378e-07
YDL005C;1.97604e-06
YDL006W;6.26132e-07
YDL007W;1.08199e-07
YDL013W;3.31634e-07
YDL014W;1.01123e-06
YDL017W;1.78654e-06
YDL019C;0
YDL022W;0
YDL025C;3.5598e-07
YDL029W;5.4352e-06
YDL030W;1.01851e-08
YDL031W;1.04547e-08
YDL033C;0
YDL040C;1.09154e-07
YDL042C;1.70807e-07
YDL043C;1.52403e-06
YDL045W-A;0
YDL047W;6.39849e-06
YDL051W;2.01728e-07
YDL052C;5.8799e-07
YDL056W;3.31358e-07
YDL058W;1.13949e-08
YDL059C;2.83232e-06
YDL060W;6.12571e-07
YDL063C;0
YDL065C;4.52901e-08
YDL067C;6.6268e-07
YDL070W;0
YDL074C;3.61408e-10
YDL076C;8.15186e-07
YDL077C;0
YDL078C;0
YDL080C;6.14924e-08
YDL084W;0
YDL086W;0
YDL087C;4.14402e-07
YDL090C;3.31181e-07
YDL092W;0
YDL097C;9.59873e-07
YDL098C;1.25486e-09
YDL100C;1.36586e-06
YDL101C;2.26574e-06
YDL108W;0
YDL111C;1.13136e-07
YDL112W;3.60271e-07
YDL113C;0
YDL115C;0
YDL116W;1.44923e-07
YDL117W;0
YDL124W;0
YDL125C;0
YDL126C;1.11685e-06
YDL132W;1.37109e-06
YDL134C;2.7473e-07
YDL135C;0
YDL137W;2.75171e-08
YDL140C;2.12145e-07
YDL143W;0
YDL145C;2.83928e-06
YDL147W;1.66938e-06
YDL148C;5.27286e-08
YDL149W;0
YDL150W;0
YDL153C;0
YDL155W;0
YDL156W;1.9356e-08
YDL159W;0
YDL160C;1.43111e-07
YDL161W;0
YDL164C;3.54755e-07
YDL165W;6.62763e-07
YDL166C;0
YDL167C;0
YDL171C;1.50353e-07
