Nodo;Valor
101.119.11.11;0.00397522
101.119.11.17;0.026943
101.119.11.209;0.00385779
101.119.11.8;0.00522095
103.126.53.123;10.4717
103.15.158.128;0.0480843
103.15.158.129;0.0480745
103.2.117.8;15.6394
103.214.220.220;12.0505
103.231.98.196;0.188057
103.243.221.109;0.051034
103.243.221.87;0.0480642
103.243.223.145;0.00850826
103.38.120.36;11.6969
103.76.40.123;14.5441
104.116.163.47;6.83354
104.116.163.52;8.9015
104.116.163.60;9.21906
104.116.199.36;0.00630812
104.16.161.13;0.104928
104.16.163.13;1.76815
104.16.78.166;0.801352
104.16.84.36;0.00386084
104.17.120.107;0.00579462
104.18.100.194;0.00381447
104.193.19.59;0.219156
104.244.36.20;0.0642643
104.244.37.20;273.094
104.244.38.20;0.0421
104.244.42.200;0.0315194
104.244.42.8;0.00384282
104.28.18.232;0.00383582
104.47.124.7;2.33321
104.71.131.107;8.89738
104.72.70.169;20.7686
104.74.27.78;0.00584052
104.74.38.130;0.0158615
104.74.46.180;0.00411048
104.74.49.161;0.00581151
104.77.174.10;0.046985
104.77.174.16;0.0469564
104.77.174.72;0.00586006
104.77.174.8;0.00581041
104.98.29.100;0.0252561
107.154.150.167;0.0266418
107.178.254.65;0.00515636
111.221.29.253;0.467252
113.29.17.20;0.123521
117.18.232.200;1.24526
117.18.237.29;inf
117.18.237.70;0.0373873
119.81.99.200;0.00382868
121.0.0.41;9.26712
121.0.0.42;4.39359
128.30.52.21;0.052461
128.63.2.53;1.12343
13.107.160.201;1.63589
13.107.3.1;20.4741
13.107.3.128;1.06932
13.107.4.50;0.0128848
13.107.5.88;0.942968
13.114.139.82;0.234351
13.211.167.211;14.1025
13.211.225.170;0.0277402
13.211.4.94;0.038784
13.228.42.167;0.010263
13.32.126.41;0.0889818
13.32.126.99;0.00585395
13.33.25.70;0.00383199
13.35.144.6;0.00561733
13.35.146.101;inf
13.35.146.111;0.00383746
13.35.146.115;inf
13.35.146.12;0.00585256
13.35.146.128;0.00386414
13.35.146.129;0.635718
13.35.146.24;0.00581617
13.35.146.28;0.00382611
13.35.146.29;1.57761
13.35.146.31;0.0038441
13.35.146.38;0.00583156
13.35.146.48;0.0892488
13.35.146.49;0.00382433
13.35.146.56;0.00580139
13.35.146.57;inf
13.35.146.60;0.00382927
13.35.146.61;0.00577162
13.35.146.69;0.00385432
13.35.146.75;inf
13.35.146.85;0.00567265
13.35.146.89;0.0058488
13.35.146.90;0.00385832
13.35.146.99;0.0038631
13.35.148.106;0.00581882
13.35.148.144;0.00584839
13.35.148.59;0.00576538
13.35.149.60;0.0878611
13.55.50.68;inf
13.68.93.109;5.38089
136.144.62.48;0.00385001
144.48.166.166;10.5734
146.82.224.215;inf
149.135.82.148;9.18006
149.135.82.89;3.33485
149.135.83.134;0.354717
149.135.83.158;0.188573
149.135.83.21;0.26143
149.135.83.22;13.8309
149.135.83.28;0.247045
150.101.174.187;inf
150.101.217.196;5.55089
151.101.0.134;0.172513
151.101.192.233;0.00558666
151.101.2.49;0.0106141
151.101.24.134;0.034378
151.101.24.64;0.781184
151.101.30.2;0.0413433
151.101.30.49;inf
151.101.64.134;0.00554179
151.101.64.233;0.168071
151.139.128.14;0.00986675
151.139.130.5;0.048637
156.154.66.196;14.82
156.154.68.196;1.69981
157.240.8.18;0.0311132
157.240.8.23;0.14778
157.240.8.35;0.132019
157.55.133.11;inf
