Nodo;Valor
Q0032;-1
Q0050;-1
Q0092;-1
REP1;-1
YAL001C;-1
YAL002W;-1
YAL003W;-1
YAL005C;-1
YAL007C;-1
YAL009W;-1
YAL010C;-1
YAL012W;-1
YAL013W;-1
YAL015C;-1
YAL016W;-1
YAL017W;-1
YAL019W;-1
YAL021C;-1
YAL023C;-1
YAL024C;-1
YAL025C;-1
YAL026C;-1
YAL027W;-1
YAL029C;-1
YAL032C;-1
YAL033W;-1
YAL034C;-1
YAL035W;-1
YAL036C;-1
YAL041W;-1
YAL042W;-1
YAL043C;-1
YAL044C;-1
YAL047C;-1
YAL049C;-1
YAL053W;-1
YAL056W;-1
YAL059W;-1
YAL061W;-1
YAR002C-A;-1
YAR002W;-1
YAR003W;-1
YAR007C;-1
YAR009C;-1
YAR014C;-1
YAR015W;-1
YAR018C;-1
YAR019C;-1
YAR042W;-1
YAR044W;-1
YAR073W;-1
YBL002W;-1
YBL003C;-1
YBL004W;-1
YBL007C;-1
YBL008W;-1
YBL015W;-1
YBL016W;-1
YBL017C;-1
YBL018C;-1
YBL021C;-1
YBL022C;-1
YBL023C;-1
YBL024W;-1
YBL026W;-1
YBL029W;-1
YBL030C;-1
YBL032W;-1
YBL033C;-1
YBL034C;-1
YBL035C;-1
YBL036C;-1
YBL037W;-1
YBL038W;-1
YBL039C;-1
YBL041W;-1
YBL044W;-1
YBL045C;-1
YBL046W;-1
YBL047C;-1
YBL049W;-1
YBL050W;-1
YBL051C;-1
YBL056W;-1
YBL058W;-1
YBL061C;-1
YBL063W;-1
YBL064C;-1
YBL066C;-1
YBL074C;-1
YBL075C;-1
YBL076C;-1
YBL080C;-1
YBL084C;-1
YBL085W;-1
YBL087C;-1
YBL088C;-1
YBL090W;-1
YBL091C;-1
YBL093C;-1
YBL101C;-1
YBL104C;-1
YBL105C;-1
YBL108W;-1
YBR001C;-1
YBR007C;-1
YBR010W;-1
YBR011C;-1
YBR014C;-1
YBR017C;-1
YBR018C;-1
YBR025C;-1
YBR028C;-1
YBR030W;-1
YBR034C;-1
YBR035C;-1
YBR039W;-1
YBR044C;-1
YBR049C;-1
YBR052C;-1
YBR056W;-1
YBR057C;-1
YBR058C;-1
YBR059C;-1
YBR060C;-1
YBR063C;-1
YBR065C;-1
YBR067C;-1
YBR069C;-1
YBR073W;-1
YBR078W;-1
YBR079C;-1
YBR080C;-1
YBR081C;-1
YBR082C;-1
YBR083W;-1
YBR084W;-1
YBR085W;-1
YBR086C;-1
YBR087W;-1
YBR088C;-1
YBR089C-A;-1
YBR092C;-1
YBR094W;-1
YBR095C;-1
YBR097W;-1
YBR098W;-1
YBR101C;-1
YBR102C;-1
YBR103W;-1
YBR105C;-1
YBR107C;-1
YBR109C;-1
YBR112C;-1
YBR114W;-1
YBR115C;-1
YBR117C;-1
YBR118W;-1
YBR119W;-1
YBR120C;-1
YBR121C;-1
YBR122C;-1
YBR123C;-1
YBR125C;-1
YBR126C;-1
YBR127C;-1
YBR128C;-1
YBR129C;-1
YBR130C;-1
YBR133C;-1
YBR135W;-1
YBR136W;-1
YBR139W;-1
YBR140C;-1
YBR142W;-1
YBR143C;-1
YBR145W;-1
YBR146W;-1
YBR149W;-1
YBR150C;-1
YBR151W;-1
YBR152W;-1
YBR154C;-1
YBR155W;-1
YBR158W;-1
YBR160W;-1
YBR162C;-1
YBR164C;-1
YBR166C;-1
YBR167C;-1
YBR169C;-1
YBR170C;-1
YBR171W;-1
YBR172C;-1
YBR175W;-1
YBR177C;-1
YBR179C;-1
YBR184W;-1
YBR187W;-1
YBR193C;-1
YBR195C;-1
YBR196C;-1
YBR198C;-1
YBR200W;-1
YBR202W;-1
YBR203W;-1
YBR204C;-1
YBR205W;-1
YBR207W;-1
YBR208C;-1
YBR211C;-1
YBR216C;-1
YBR217W;-1
YBR218C;-1
YBR221C;-1
YBR222C;-1
YBR223C;-1
YBR225W;-1
YBR227C;-1
YBR228W;-1
YBR233W;-1
YBR234C;-1
YBR236C;-1
YBR238C;-1
YBR242W;-1
YBR245C;-1
YBR246W;-1
YBR247C;-1
YBR249C;-1
YBR251W;-1
YBR252W;-1
YBR253W;-1
YBR254C;-1
YBR257W;-1
YBR260C;-1
YBR263W;-1
YBR264C;-1
YBR265W;-1
YBR267W;-1
YBR272C;-1
YBR274W;-1
YBR276C;-1
YBR278W;-1
YBR279W;-1
YBR280C;-1
YBR281C;-1
YBR282W;-1
YBR286W;-1
YBR287W;-1
YBR288C;-1
YBR289W;-1
YBR295W;-1
YBR299W;-1
YCL009C;-1
YCL010C;-1
YCL011C;-1
YCL014W;-1
YCL017C;-1
YCL024W;-1
YCL028W;-1
YCL029C;-1
YCL030C;-1
YCL031C;-1
YCL035C;-1
YCL037C;-1
YCL039W;-1
