Nodo;Valor
Q0032;0
Q0050;0
Q0092;0
REP1;0.000142211
YAL001C;0
YAL002W;0.00209732
YAL003W;0.000276596
YAL005C;7.81467e-05
YAL007C;0.00867542
YAL009W;0.00311116
YAL010C;0.00309523
YAL012W;4.37912e-05
YAL013W;0
YAL015C;0.00404226
YAL016W;0.00943686
YAL017W;0.00376786
YAL019W;0.000548635
YAL021C;0.0102838
YAL023C;0
YAL024C;0
YAL025C;0
YAL026C;0
YAL027W;0.00502796
YAL029C;0.0197702
YAL032C;0.00120498
YAL033W;0
YAL034C;0.00237818
YAL035W;0.00565103
YAL036C;0.000386346
YAL041W;0.00153261
YAL042W;0
YAL043C;0.000858955
YAL044C;0
YAL047C;0
YAL049C;0
YAL053W;0.00321592
YAL056W;0
YAL059W;0.00527732
YAL061W;0
YAR002C-A;0.00238392
YAR002W;0
YAR003W;0.00612792
YAR007C;0.0139416
YAR009C;0
YAR014C;0.00127984
YAR015W;0
YAR018C;6.68728e-05
YAR019C;0.00203465
YAR042W;0
YAR044W;0.000519223
YAR073W;9.08424e-05
YBL002W;0.0242663
YBL003C;0.00397236
YBL004W;0.0171451
YBL007C;0.00546759
YBL008W;0
YBL015W;0.00010122
YBL016W;3.6598e-05
YBL017C;0.00034051
YBL018C;0
YBL021C;0.000961961
YBL022C;0.00195692
YBL023C;0.00110927
YBL024W;0.000429346
YBL026W;0.00622172
YBL029W;0
YBL030C;0.000103964
YBL032W;0.00448545
YBL033C;0
YBL034C;0
YBL035C;0.00270716
YBL036C;0.00145378
YBL037W;0.00309523
YBL038W;0.011512
YBL039C;0.0263648
YBL041W;0.000126558
YBL044W;0
YBL045C;0.0102242
YBL046W;0.00113614
YBL047C;0.00330272
YBL049W;0.00828443
YBL050W;1.45418e-06
YBL051C;0.000205076
YBL056W;0.00814114
YBL058W;0.00159298
YBL061C;0
YBL063W;0
YBL064C;0.000300457
YBL066C;0
YBL074C;6.15199e-05
YBL075C;0.000225
YBL076C;0.00418627
YBL080C;0
YBL084C;0
YBL085W;0
YBL087C;0.00462695
YBL088C;9.23685e-05
YBL090W;0
YBL091C;0
YBL093C;0.00271531
YBL101C;0
YBL104C;0.00217872
YBL105C;0
YBL108W;0
YBR001C;0
YBR007C;0
YBR010W;0.000417105
YBR011C;0.0141729
YBR014C;0
YBR017C;0.0429778
YBR018C;0.00037825
YBR025C;0.00132479
YBR028C;0
YBR030W;0
YBR034C;0
YBR035C;0
YBR039W;0.0148867
YBR044C;0
YBR049C;0.00237986
YBR052C;0
YBR056W;0
YBR057C;0.00166935
YBR058C;0.000491146
YBR059C;0.0016677
YBR060C;2.18127e-06
YBR063C;0
YBR065C;1.20889e-05
YBR067C;0
YBR069C;0.00622519
YBR073W;0
YBR078W;0
YBR079C;0.0144654
YBR080C;4.19957e-05
YBR081C;0.0113592
YBR082C;0.00154798
YBR083W;0.000219533
YBR084W;0.00560497
YBR085W;0.00592854
YBR086C;0
YBR087W;0.00248115
YBR088C;0.00397261
YBR089C-A;0.0143351
YBR092C;0
YBR094W;0
YBR095C;0
YBR097W;0
YBR098W;0
YBR101C;0.000407924
YBR102C;0.00621379
YBR103W;0.0152584
YBR105C;0.000729131
YBR107C;0.00927696
YBR109C;0.0261128
YBR112C;0
YBR114W;0.016408
YBR115C;0.00154798
YBR117C;0
YBR118W;0.00170499
YBR119W;5.71205e-05
YBR120C;0.000103964
YBR121C;0.000198625
YBR122C;2.99639e-05
YBR123C;0.00480134
YBR125C;0.00165562
YBR126C;0.0342895
YBR127C;0.00229391
YBR128C;0.00154798
YBR129C;0
YBR130C;0.00223677
YBR133C;0
YBR135W;0.0121603
YBR136W;0.00234337
YBR139W;0
YBR140C;0.000417903
YBR142W;0.00981035
YBR143C;0.0173087
YBR145W;0
YBR146W;0
YBR149W;0
YBR150C;0
YBR151W;0
YBR152W;0.00409144
YBR154C;0.0017887
YBR155W;0.0007008
YBR158W;0.000472561
YBR160W;0.00750895
YBR162C;0.00164465
YBR164C;0
YBR166C;0
YBR167C;1.52689e-05
YBR169C;0.00180856
YBR170C;0.000897433
YBR171W;3.63546e-07
YBR172C;0
YBR175W;0.00684981
YBR177C;0
YBR179C;0
YBR184W;0
YBR187W;0
YBR193C;6.53601e-06
YBR195C;0.00284586
YBR196C;5.48992e-05
YBR198C;0.0185898
YBR200W;0
YBR202W;0.00154798
YBR203W;0.000461943
YBR204C;0
YBR205W;0.00123597
YBR207W;0.00360963
YBR208C;0.00175006
YBR211C;0
YBR216C;0
YBR217W;0.0375072
YBR218C;0
YBR221C;0.00985303
YBR222C;0
YBR223C;0.000178421
YBR225W;1.59539e-05
YBR227C;0.000255731
YBR228W;0
YBR233W;0.00026382
YBR234C;0.0048114
YBR236C;3.70852e-05
YBR238C;0.00154798
YBR242W;0
YBR245C;0.0095526
YBR246W;0
YBR247C;0.0257894
YBR249C;0
YBR251W;0.0430724
YBR252W;0
YBR253W;0.0120381
YBR254C;0.0160828
YBR257W;0
YBR260C;0.00034301
YBR263W;0
YBR264C;3.10039e-05
YBR265W;0
YBR267W;0.000421763
YBR272C;0.00390495
YBR274W;0.00309523
YBR276C;0
YBR278W;1.48017e-05
YBR279W;6.03556e-05
YBR280C;0.00309523
YBR281C;0.000111292
YBR282W;0
YBR286W;0
YBR287W;0
YBR288C;0.000132208
YBR289W;0.00701892
YBR295W;0
YBR299W;0
YCL009C;0
YCL010C;0
YCL011C;0.00501168
YCL014W;0.00094537
YCL017C;0
YCL024W;9.18831e-05
YCL028W;0.00945816
YCL029C;0
YCL030C;0.00183894
YCL031C;0
YCL035C;0
YCL037C;0.00160324
YCL039W;0.0194924
YCL042W;0
YCL043C;0.000657113
YCL046W;0
YCL050C;0
YCL054W;0.00046282
YCL059C;0.00835588
YCR001W;0
YCR002C;0.00128224
YCR008W;0
YCR009C;0.00220655
YCR012W;0.0064618
YCR014C;0
YCR015C;0
YCR020C-A;0
YCR028C-A;8.47488e-05
YCR030C;0.00166726
YCR033W;5.14406e-05
YCR035C;0
YCR042C;0.00293429
YCR046C;0.000129481
YCR048W;0
YCR052W;0
YCR053W;0.000413042
YCR063W;0
YCR066W;5.5808e-06
YCR071C;2.99639e-05
YCR072C;6.9393e-05
YCR073C;0.00012249
YCR076C;0
YCR077C;0.00187477
YCR079W;0.00735544
YCR081W;8.39175e-05
YCR084C;0.00679878
YCR087W;0
YCR088W;0.00470482
YCR091W;0
YCR092C;0.000890398
YCR093W;0.00879027
YDL002C;0.00985135
YDL003W;0.00160181
YDL005C;0.0112359
YDL006W;0.00494691
YDL007W;0.0013624
YDL013W;0.00154798
YDL014W;0.0139739
YDL017W;0.0110024
YDL019C;0
YDL022W;0
YDL025C;0.00166594
YDL029W;0.048203
YDL030W;8.46953e-05
YDL031W;0.000171515
YDL033C;0
YDL040C;0.00124409
YDL042C;0.0013348
YDL043C;0.0227821
YDL045W-A;0
YDL047W;0.0451066
YDL051W;0.00240579
YDL052C;0.00727645
YDL056W;0.00154798
YDL058W;0.000151545
YDL059C;0.0260902
YDL060W;0.00597988
YDL063C;0
YDL065C;0.000423322
YDL067C;0.00309523
YDL070W;0
YDL074C;7.27092e-07
YDL076C;0.00495498
YDL077C;0
YDL078C;0
YDL080C;0.000512222
YDL084W;0
YDL086W;0
YDL087C;0.00378782
YDL090C;0.00154798
YDL092W;0
YDL097C;0.0123045
YDL098C;1.09468e-05
YDL100C;0.00643224
YDL101C;0.0176753
YDL108W;0
YDL111C;0.00115443
YDL112W;0.00480722
YDL113C;0
YDL115C;0
YDL116W;0.000825627
YDL117W;0
YDL124W;0
YDL125C;0
YDL126C;0.0107982
YDL132W;0.0116889
YDL134C;0.00220737
YDL135C;0
YDL137W;0.000141604
YDL140C;0.00374722
YDL143W;0
YDL145C;0.0244858
YDL147W;0.0175259
YDL148C;0.000521243
YDL149W;0
YDL150W;0
YDL153C;0
YDL155W;0
YDL156W;0.000319753
YDL159W;0
YDL160C;0.00180902
YDL161W;0
YDL164C;0.00173992
YDL165W;0.00309523
YDL166C;0
YDL167C;0
YDL171C;0.00153248
YDL175C;0.00353418
YDL179W;0
YDL185W;0.0369974
YDL188C;0.0255063
YDL190C;0.00686723
YDL192W;0.00345382
YDL193W;0.000484122
YDL195W;0.00689383
YDL200C;0.00983923
YDL203C;0
YDL204W;0
YDL208W;0.00526176
YDL209C;0.000114314
YDL215C;0
YDL216C;0.00618755
YDL219W;0
YDL220C;0.00363238
YDL225W;0.0111301
YDL226C;0
YDL234C;0
YDL235C;0
YDR001C;0
YDR002W;0.000162584
YDR005C;0
YDR006C;0
YDR009W;0
YDR017C;0
YDR021W;0.000106799
YDR022C;0
YDR023W;0.00224028
YDR027C;0
YDR028C;0.00834238
YDR030C;0.000283224
YDR032C;0.0055773
YDR036C;0.000823965
YDR037W;0.00434949
YDR041W;0
YDR044W;0
YDR045C;0
YDR049W;9.8677e-05
