Nodo;Valor
Q0032;0.179856
Q0050;0.197393
Q0092;0.147313
REP1;0.228935
YAL001C;0.150198
YAL002W;0.207515
YAL003W;0.226004
YAL005C;0.208996
YAL007C;0.243932
YAL009W;0.206105
YAL010C;0.209947
YAL012W;0.163728
YAL013W;0.187931
YAL015C;0.260635
YAL016W;0.242633
YAL017W;0.232431
YAL019W;0.191936
YAL021C;0.257087
YAL023C;0
YAL024C;0.196149
YAL025C;0.197683
YAL026C;0.151819
YAL027W;0.238578
YAL029C;0.268067
YAL032C;0.228965
YAL033W;0.00170503
YAL034C;0.236942
YAL035W;0.252521
YAL036C;0.249316
YAL041W;0.19102
YAL042W;0.156553
YAL043C;0.229337
YAL044C;0
YAL047C;0.183722
YAL049C;0.132761
YAL053W;0.183953
YAL056W;0
YAL059W;0.241624
YAL061W;0.208252
YAR002C-A;0.21485
YAR002W;0.198089
YAR003W;0.228181
YAR007C;0.27103
YAR009C;0.212974
YAR014C;0.235717
YAR015W;0
YAR018C;0.218151
YAR019C;0.232647
YAR042W;0.181914
YAR044W;0.195885
YAR073W;0.192531
YBL002W;0.272661
YBL003C;0.245198
YBL004W;0.269596
YBL007C;0.224681
YBL008W;0.213823
YBL015W;0.213348
YBL016W;0.186744
YBL017C;0.213197
YBL018C;0.00170503
YBL021C;0.22859
YBL022C;0.240639
YBL023C;0.233704
YBL024W;0.203856
YBL026W;0.240202
YBL029W;0.183787
YBL030C;0.221229
YBL032W;0.250228
YBL033C;0
YBL034C;0.179493
YBL035C;0.220223
YBL036C;0.233802
YBL037W;0.157555
YBL038W;0.244171
YBL039C;0.279711
YBL041W;0.225628
YBL044W;0.199336
YBL045C;0.254413
YBL046W;0.198541
YBL047C;0.237652
YBL049W;0.218698
YBL050W;0.143548
YBL051C;0.217719
YBL056W;0.259999
YBL058W;0.214362
YBL061C;0.180101
YBL063W;0
YBL064C;0.167869
YBL066C;0.180101
YBL074C;0.203816
YBL075C;0.210042
YBL076C;0.235317
YBL080C;0.179472
YBL084C;0.159028
YBL085W;0.168637
YBL087C;0.234468
YBL088C;0.177871
YBL090W;0.202057
YBL091C;0.193132
YBL093C;0.211144
YBL101C;0
YBL104C;0.23307
YBL105C;0.159627
YBL108W;0.210016
YBR001C;0.17098
YBR007C;0
YBR010W;0.216039
YBR011C;0.265802
YBR014C;0.172249
YBR017C;0.282229
YBR018C;0.226099
YBR025C;0.236132
YBR028C;0.210016
YBR030W;0
YBR034C;0
YBR035C;0.205588
YBR039W;0.278353
YBR044C;0.194014
YBR049C;0.229579
YBR052C;0
YBR056W;0
YBR057C;0.210688
YBR058C;0.221729
YBR059C;0.168067
YBR060C;0.146679
YBR063C;0.178321
YBR065C;0.203042
YBR067C;0
YBR069C;0.237392
YBR073W;0
YBR078W;0.212974
YBR079C;0.265546
YBR080C;0.222901
YBR081C;0.239492
YBR082C;0.181306
YBR083W;0.226103
YBR084W;0.238599
YBR085W;0.268557
YBR086C;0.174964
YBR087W;0.221705
YBR088C;0.237125
YBR089C-A;0.254504
YBR092C;0
YBR094W;0.203578
YBR095C;0.199081
YBR097W;0.199251
YBR098W;0.214145
YBR101C;0.19834
YBR102C;0.177325
YBR103W;0.241571
YBR105C;0.203004
YBR107C;0.153754
YBR109C;0.266873
YBR112C;0.185396
YBR114W;0.257997
YBR115C;0.188863
YBR117C;0.000426257
YBR118W;0.209495
YBR119W;0.230293
YBR120C;0.221229
YBR121C;0.220514
YBR122C;0.199685
YBR123C;0.181719
YBR125C;0.200594
YBR126C;0.274707
YBR127C;0.211832
YBR128C;0.206669
YBR129C;0.210291
YBR130C;0.229687
YBR133C;0.176985
YBR135W;0.23905
YBR136W;0.252853
YBR139W;0.171855
YBR140C;0.196634
YBR142W;0.266085
YBR143C;0.270639
YBR145W;0.17916
YBR146W;0.20227
YBR149W;0
YBR150C;0
YBR151W;0
YBR152W;0.232214
YBR154C;0.222116
YBR155W;0.21714
YBR158W;0.208786
YBR160W;0.253386
YBR162C;0.197112
YBR164C;0
YBR166C;0.216415
YBR167C;0.0029838
YBR169C;0.214193
YBR170C;0.200591
YBR171W;0.150163
YBR172C;0
YBR175W;0.231435
YBR177C;0
YBR179C;0.191558
YBR184W;0.21472
YBR187W;0
YBR193C;0.196811
YBR195C;0.21555
YBR196C;0.190479
YBR198C;0.258523
YBR200W;0.161897
YBR202W;0.220114
YBR203W;0.216149
YBR204C;0
YBR205W;0.221908
YBR207W;0.226303
YBR208C;0.244505
YBR211C;0.13047
YBR216C;0.165227
YBR217W;0.292832
YBR218C;0.210016
YBR221C;0.251373
YBR222C;0
YBR223C;0.197824
YBR225W;0.185033
YBR227C;0.22718
YBR228W;0
YBR233W;0.210821
YBR234C;0.251446
YBR236C;0.190824
YBR238C;0.208954
YBR242W;0.204391
YBR245C;0.238443
YBR246W;0
YBR247C;0.285866
YBR249C;0.180613
YBR251W;0.263707
YBR252W;0.216765
YBR253W;0.231802
YBR254C;0.21888
YBR257W;0.00170503
YBR260C;0.212404
YBR263W;0.182291
YBR264C;0.181939
YBR265W;0.207048
YBR267W;0.209861
YBR272C;0.253174
YBR274W;0.209238
YBR276C;0.165555
YBR278W;0.187147
YBR279W;0.201661
YBR280C;0.214308
YBR281C;0.222542
YBR282W;0.189242
YBR286W;0.179092
YBR287W;0.209378
YBR288C;0.177802
YBR289W;0.214862
YBR295W;0.186516
YBR299W;0.000426257
YCL009C;0
YCL010C;0.200435
YCL011C;0.223042
YCL014W;0.233611
YCL017C;0.000426257
YCL024W;0.21264
YCL028W;0.247753
YCL029C;0.182223
YCL030C;0.215034
YCL031C;0.21859
YCL035C;0
YCL037C;0.238465
YCL039W;0.233416
YCL042W;0.193132
YCL043C;0.221461
YCL046W;0.180807
YCL050C;0.193792
YCL054W;0.242368
YCL059C;0.267678
YCR001W;0.190025
YCR002C;0.232825
YCR008W;0.176022
YCR009C;0.225219
YCR012W;0.240081
YCR014C;0.147507
YCR015C;0.175526
YCR020C-A;0.000639386
YCR028C-A;0.209338
YCR030C;0.220106
YCR033W;0.217499
YCR035C;0.19255
YCR042C;0.234064
