Nodo;Valor
Q0032;0.000426257
Q0050;0.000426257
Q0092;0.000426257
REP1;0.00127877
YAL001C;0.000426257
YAL002W;0.0029838
YAL003W;0.00127877
YAL005C;0.000852515
YAL007C;0.00511509
YAL009W;0.00213129
YAL010C;0.00213129
YAL012W;0.00170503
YAL013W;0.000426257
YAL015C;0.00426257
YAL016W;0.00724638
YAL017W;0.0029838
YAL019W;0.00213129
YAL021C;0.00682012
YAL023C;0.000852515
YAL024C;0.00170503
YAL025C;0.000426257
YAL026C;0.000426257
YAL027W;0.00383632
YAL029C;0.00767263
YAL032C;0.00682012
YAL033W;0.000426257
YAL034C;0.0029838
YAL035W;0.00724638
YAL036C;0.00170503
YAL041W;0.00255754
YAL042W;0.000426257
YAL043C;0.00724638
YAL044C;0.000852515
YAL047C;0.000426257
YAL049C;0.00127877
YAL053W;0.00255754
YAL056W;0.000852515
YAL059W;0.00383632
YAL061W;0.00127877
YAR002C-A;0.0029838
YAR002W;0.000426257
YAR003W;0.00468883
YAR007C;0.00852515
YAR009C;0.000426257
YAR014C;0.0029838
YAR015W;0.000852515
YAR018C;0.00127877
YAR019C;0.00170503
YAR042W;0.000426257
YAR044W;0.00213129
YAR073W;0.000852515
YBL002W;0.0127877
YBL003C;0.00213129
YBL004W;0.00682012
YBL007C;0.00511509
YBL008W;0.000426257
YBL015W;0.000852515
YBL016W;0.000852515
YBL017C;0.00213129
YBL018C;0.000426257
YBL021C;0.00127877
YBL022C;0.0029838
YBL023C;0.00255754
YBL024W;0.00213129
YBL026W;0.00511509
YBL029W;0.000426257
YBL030C;0.000852515
YBL032W;0.0059676
YBL033C;0.000852515
YBL034C;0.000426257
YBL035C;0.00511509
YBL036C;0.00383632
YBL037W;0.00213129
YBL038W;0.00980392
YBL039C;0.00937766
YBL041W;0.00170503
YBL044W;0.000426257
YBL045C;0.00554135
YBL046W;0.00255754
YBL047C;0.00383632
YBL049W;0.00426257
YBL050W;0.000852515
YBL051C;0.00170503
YBL056W;0.00639386
YBL058W;0.0029838
YBL061C;0.000426257
YBL063W;0.000852515
YBL064C;0.00170503
YBL066C;0.000426257
YBL074C;0.00127877
YBL075C;0.000852515
YBL076C;0.00341006
YBL080C;0.000426257
YBL084C;0.000426257
YBL085W;0.00127877
YBL087C;0.00341006
YBL088C;0.000852515
YBL090W;0.000852515
YBL091C;0.000426257
YBL093C;0.00937766
YBL101C;0.000852515
YBL104C;0.00170503
YBL105C;0.00127877
YBL108W;0.000426257
YBR001C;0.000426257
YBR007C;0.000852515
YBR010W;0.00127877
YBR011C;0.00682012
YBR014C;0.000426257
YBR017C;0.0179028
YBR018C;0.00170503
YBR025C;0.00213129
YBR028C;0.00127877
YBR030W;0.000852515
YBR034C;0.000852515
YBR035C;0.000426257
YBR039W;0.0059676
YBR044C;0.000426257
YBR049C;0.00468883
YBR052C;0.000852515
YBR056W;0.000852515
YBR057C;0.00213129
YBR058C;0.00213129
YBR059C;0.00213129
YBR060C;0.0029838
YBR063C;0.000426257
YBR065C;0.00213129
YBR067C;0.000852515
YBR069C;0.00468883
YBR073W;0.000852515
YBR078W;0.000426257
YBR079C;0.00767263
YBR080C;0.000852515
YBR081C;0.00895141
YBR082C;0.000852515
YBR083W;0.00127877
YBR084W;0.00511509
YBR085W;0.00426257
YBR086C;0.000426257
YBR087W;0.00468883
YBR088C;0.0029838
YBR089C-A;0.00724638
YBR092C;0.000852515
YBR094W;0.00127877
YBR095C;0.000852515
YBR097W;0.000426257
YBR098W;0.000426257
YBR101C;0.00170503
YBR102C;0.00341006
YBR103W;0.00724638
YBR105C;0.000852515
YBR107C;0.00383632
YBR109C;0.011509
YBR112C;0.000426257
YBR114W;0.00937766
YBR115C;0.00170503
YBR117C;0.00127877
YBR118W;0.00170503
YBR119W;0.00554135
YBR120C;0.000852515
YBR121C;0.000852515
YBR122C;0.000852515
YBR123C;0.00341006
YBR125C;0.00255754
YBR126C;0.0119352
YBR127C;0.00213129
YBR128C;0.000852515
YBR129C;0.000426257
YBR130C;0.00341006
YBR133C;0.00127877
YBR135W;0.00724638
YBR136W;0.00341006
YBR139W;0.00127877
YBR140C;0.000852515
YBR142W;0.00895141
YBR143C;0.00852515
YBR145W;0.000426257
YBR146W;0.00127877
YBR149W;0.000852515
YBR150C;0
YBR151W;0.000852515
YBR152W;0.00767263
YBR154C;0.00383632
YBR155W;0.00255754
YBR158W;0.00213129
YBR160W;0.0059676
YBR162C;0.00255754
YBR164C;0.000852515
YBR166C;0.00127877
YBR167C;0.0029838
YBR169C;0.00255754
YBR170C;0.00255754
YBR171W;0.00213129
YBR172C;0.000852515
YBR175W;0.00554135
YBR177C;0.000852515
YBR179C;0.000426257
YBR184W;0.000426257
YBR187W;0
YBR193C;0.00170503
YBR195C;0.00213129
YBR196C;0.000852515
YBR198C;0.0106564
YBR200W;0.00170503
YBR202W;0.00170503
YBR203W;0.000852515
YBR204C;0.000852515
YBR205W;0.00127877
YBR207W;0.00341006
YBR208C;0.00170503
YBR211C;0.000426257
YBR216C;0.00127877
YBR217W;0.0191816
YBR218C;0.000426257
YBR221C;0.00682012
YBR222C;0.000852515
YBR223C;0.000852515
YBR225W;0.00170503
YBR227C;0.000852515
YBR228W;0
YBR233W;0.00127877
YBR234C;0.0059676
YBR236C;0.00170503
YBR238C;0.00170503
YBR242W;0.000426257
YBR245C;0.00895141
YBR246W;0.000852515
YBR247C;0.0140665
YBR249C;0.00127877
YBR251W;0.014919
YBR252W;0.000426257
YBR253W;0.013214
YBR254C;0.0059676
YBR257W;0.000426257
YBR260C;0.00213129
YBR263W;0.000426257
YBR264C;0.000852515
YBR265W;0.00127877
YBR267W;0.00255754
YBR272C;0.00724638
YBR274W;0.00127877
YBR276C;0.000426257
YBR278W;0.00127877
YBR279W;0.00127877
YBR280C;0.00170503
YBR281C;0.000852515
YBR282W;0.000426257
YBR286W;0.000426257
YBR287W;0.00127877
YBR288C;0.00213129
YBR289W;0.00468883
YBR295W;0.000426257
YBR299W;0.000426257
YCL009C;0.000852515
YCL010C;0.00127877
YCL011C;0.00383632
YCL014W;0.00170503
YCL017C;0.00127877
YCL024W;0.000852515
YCL028W;0.00639386
YCL029C;0.000426257
YCL030C;0.0029838
YCL031C;0.000426257
YCL035C;0
YCL037C;0.00255754
YCL039W;0.00511509
YCL042W;0.000426257
YCL043C;0.00170503
YCL046W;0.000426257
YCL050C;0.000426257
YCL054W;0.00213129
YCL059C;0.013214
YCR001W;0.000426257
YCR002C;0.00341006
YCR008W;0.000426257
YCR009C;0.00170503
YCR012W;0.00341006
