Nodo;Valor
Q0032;0
Q0050;0
Q0092;0
REP1;5.10481e-09
YAL001C;0
YAL002W;3.92875e-07
YAL003W;1.5651e-08
YAL005C;9.81155e-09
YAL007C;6.64075e-07
YAL009W;4.09692e-07
YAL010C;6.77495e-07
YAL012W;8.34861e-08
YAL013W;0
YAL015C;2.21268e-07
YAL016W;1.50388e-06
YAL017W;2.8663e-07
YAL019W;4.64761e-08
YAL021C;1.04168e-06
YAL023C;0
YAL024C;0
YAL025C;0
YAL026C;0
YAL027W;5.18698e-07
YAL029C;1.06669e-06
YAL032C;2.18474e-07
YAL033W;0
YAL034C;6.61806e-08
YAL035W;8.76074e-07
YAL036C;1.47012e-08
YAL041W;3.2406e-07
YAL042W;0
YAL043C;1.21345e-07
YAL044C;0
YAL047C;0
YAL049C;0
YAL053W;7.03324e-07
YAL056W;0
YAL059W;4.89633e-07
YAL061W;0
YAR002C-A;4.29169e-07
YAR002W;0
YAR003W;9.839e-07
YAR007C;1.12476e-06
YAR009C;0
YAR014C;1.12742e-07
YAR015W;0
YAR018C;3.50985e-09
YAR019C;3.54102e-07
YAR042W;0
YAR044W;2.49131e-08
YAR073W;1.23301e-08
YBL002W;2.63305e-06
YBL003C;1.00496e-07
YBL004W;8.64384e-07
YBL007C;9.51324e-07
YBL008W;0
YBL015W;2.15025e-08
YBL016W;4.4301e-09
YBL017C;3.27564e-08
YBL018C;0
YBL021C;5.26724e-08
YBL022C;1.34125e-07
YBL023C;6.85916e-08
YBL024W;2.74927e-08
YBL026W;6.19543e-07
YBL029W;0
YBL030C;1.05786e-08
YBL032W;5.7166e-07
YBL033C;0
YBL034C;0
YBL035C;4.48061e-07
YBL036C;8.87816e-08
YBL037W;6.77795e-07
YBL038W;1.7313e-06
YBL039C;1.43879e-06
YBL041W;3.45274e-09
YBL044W;1.40541e-08
YBL045C;1.25532e-06
YBL046W;4.76309e-08
YBL047C;6.28155e-07
YBL049W;9.48083e-07
YBL050W;4.71089e-10
YBL051C;3.59807e-08
YBL056W;1.22644e-06
YBL058W;1.30717e-07
YBL061C;0
YBL063W;0
YBL064C;1.77839e-08
YBL066C;0
YBL074C;3.17314e-09
YBL075C;2.87308e-08
YBL076C;3.85024e-07
YBL080C;0
YBL084C;0
YBL085W;0
YBL087C;9.73671e-07
YBL088C;9.2129e-08
YBL090W;0
YBL091C;0
YBL093C;4.3941e-07
YBL101C;0
YBL104C;1.44485e-07
YBL105C;0
YBL108W;0
YBR001C;0
YBR007C;0
YBR009C;8.6098e-06
YBR010W;4.4061e-08
YBR011C;1.69843e-06
YBR014C;0
YBR017C;5.51866e-06
YBR018C;6.49921e-08
YBR025C;1.77715e-07
YBR028C;0
YBR030W;0
YBR034C;0
YBR035C;0
YBR039W;6.77534e-07
YBR044C;0
YBR049C;5.10291e-07
YBR052C;0
YBR055C;7.79084e-06
YBR056W;0
YBR057C;3.55126e-07
YBR058C;2.23666e-08
YBR059C;3.61484e-07
YBR060C;4.88598e-10
YBR063C;0
YBR065C;1.05611e-09
YBR067C;0
YBR069C;6.10942e-07
YBR073W;0
YBR078W;0
YBR079C;6.66147e-07
YBR080C;7.41214e-09
YBR081C;1.34625e-06
YBR082C;3.38712e-07
YBR083W;5.67957e-08
YBR084W;7.18649e-07
YBR085W;1.73543e-07
YBR086C;0
YBR087W;4.2659e-07
YBR088C;5.15973e-07
YBR089C-A;1.17105e-06
YBR092C;0
YBR094W;0
YBR095C;0
YBR097W;0
YBR098W;0
YBR101C;1.00873e-08
YBR102C;1.36089e-06
YBR103W;2.31054e-06
YBR105C;1.22516e-08
YBR107C;2.03368e-06
YBR109C;3.47447e-06
YBR112C;0
YBR114W;2.51307e-06
YBR115C;3.3901e-07
YBR117C;0
YBR118W;3.5309e-07
YBR119W;7.55604e-09
YBR120C;1.46787e-09
YBR121C;1.0191e-08
YBR122C;1.16343e-09
YBR123C;1.05577e-06
YBR125C;4.33878e-07
YBR126C;4.41177e-06
YBR127C;4.8208e-07
YBR128C;3.39127e-07
YBR129C;0
YBR130C;4.1738e-07
YBR133C;2.33854e-08
YBR135W;2.49746e-06
YBR136W;9.94687e-08
YBR139W;0
YBR140C;2.35519e-08
YBR142W;9.24516e-07
YBR143C;1.81813e-06
YBR145W;0
YBR146W;0
YBR149W;0
YBR150C;0
YBR151W;0
YBR152W;7.74225e-07
YBR154C;1.67488e-07
YBR155W;1.0466e-07
YBR158W;2.89261e-08
YBR160W;9.34953e-07
YBR162C;3.46174e-07
YBR164C;0
YBR166C;0
YBR167C;5.71435e-09
YBR169C;5.66951e-08
YBR170C;9.24494e-08
YBR171W;2.32258e-10
YBR172C;0
YBR175W;1.26475e-06
YBR177C;0
YBR179C;0
YBR184W;0
YBR187W;0
YBR193C;7.42325e-10
YBR195C;4.2025e-07
YBR196C;6.51868e-09
YBR198C;1.8338e-06
YBR200W;0
YBR202W;3.38829e-07
YBR203W;1.07605e-08
YBR204C;0
YBR205W;5.62468e-08
YBR207W;4.56036e-07
YBR208C;4.3878e-08
YBR211C;0
YBR216C;0
YBR217W;4.42603e-06
YBR218C;2.97834e-09
YBR221C;1.29285e-06
YBR222C;0
YBR223C;1.65567e-08
YBR225W;1.23197e-09
YBR227C;4.19286e-09
YBR228W;0
YBR233W;7.42447e-09
YBR234C;7.88823e-07
YBR236C;5.03655e-09
YBR238C;3.38865e-07
YBR242W;0
YBR245C;1.84089e-06
YBR246W;0
YBR247C;2.27332e-06
YBR249C;1.43497e-08
YBR251W;5.56858e-06
YBR252W;0
YBR253W;1.53286e-06
YBR254C;2.88672e-06
YBR257W;0
YBR260C;3.40686e-08
YBR263W;0
YBR264C;3.68921e-09
YBR265W;0
YBR267W;6.46853e-09
YBR272C;4.07918e-07
YBR274W;3.52578e-07
YBR276C;0
YBR278W;2.61684e-09
YBR279W;1.15822e-09
YBR280C;6.77805e-07
YBR281C;8.17087e-09
YBR282W;0
YBR286W;0
YBR287W;0
YBR288C;1.30898e-08
YBR289W;1.47936e-06
YBR295W;0
YBR299W;0
YCL009C;0
YCL010C;0
YCL011C;9.39601e-07
YCL014W;2.49982e-08
YCL017C;0
YCL024W;3.41356e-09
YCL028W;9.19528e-07
YCL029C;0
YCL030C;1.82533e-07
YCL031C;0
YCL035C;0
YCL037C;5.07e-08
YCL039W;1.51197e-06
YCL042W;0
YCL043C;7.31715e-08
YCL046W;0
YCL050C;0
YCL054W;1.22006e-08
YCL059C;1.08701e-06
YCR001W;0
YCR002C;2.19589e-07
YCR008W;0
YCR009C;3.79632e-07
YCR012W;3.69006e-07
YCR014C;0
YCR015C;0
YCR020C-A;0
YCR028C-A;2.03938e-08
YCR030C;5.8931e-08
YCR033W;6.01913e-09
YCR035C;0
YCR042C;4.47162e-07
YCR046C;5.72205e-09
YCR048W;0
YCR052W;0
YCR053W;4.05153e-08
YCR057C;5.22693e-06
YCR063W;0
YCR066W;8.97882e-10
YCR071C;1.16343e-09
YCR072C;3.11889e-09
YCR073C;2.17773e-08
YCR076C;0
YCR077C;1.18433e-07
YCR079W;5.15881e-07
YCR081W;9.92335e-09
YCR084C;1.09949e-06
YCR087W;0
YCR088W;8.70405e-07
YCR091W;0
YCR092C;4.0217e-08
YCR093W;7.19016e-07
YDL002C;1.43455e-06
YDL003W;3.45881e-07
YDL005C;2.57657e-06
YDL006W;5.85805e-07
YDL007W;9.03857e-08
YDL013W;3.39168e-07
YDL014W;5.97298e-07
YDL017W;1.79162e-06
YDL019C;0
YDL022W;0
YDL025C;5.83563e-07
YDL029W;4.696e-06
YDL030W;3.67561e-09
YDL031W;1.19643e-08
YDL033C;0
YDL040C;8.6738e-08
YDL042C;1.08603e-07
YDL043C;1.52672e-06
YDL045W-A;0
YDL047W;5.76875e-06
YDL051W;2.54231e-07
YDL052C;6.96282e-07
YDL056W;3.38898e-07
YDL058W;3.56478e-08
YDL059C;2.38714e-06
YDL060W;7.1468e-07
YDL063C;0
YDL065C;1.46663e-07
YDL067C;6.77751e-07
YDL070W;3.39004e-07
YDL074C;3.54985e-10
YDL076C;7.7881e-07
YDL077C;0
YDL078C;0
YDL080C;4.50745e-08
YDL084W;0
YDL086W;0
YDL087C;6.10711e-07
YDL090C;3.38718e-07
YDL092W;0
YDL097C;7.41135e-07
YDL098C;6.37543e-10
YDL100C;1.38942e-06
YDL101C;1.96466e-06
YDL108W;0
YDL111C;4.63127e-08
YDL112W;3.79772e-07
YDL113C;0
YDL115C;0
YDL116W;1.36498e-07
YDL117W;0
YDL124W;1.42539e-09
YDL125C;0
YDL126C;1.10388e-06
YDL132W;1.27082e-06
YDL134C;3.96734e-07
YDL135C;0
YDL137W;2.51133e-07
YDL140C;1.73465e-07
YDL143W;0
YDL145C;1.86257e-06
YDL147W;1.4938e-06
YDL148C;5.80258e-08
YDL149W;0
YDL150W;0
YDL153C;0
YDL155W;0
YDL156W;1.53628e-08
YDL159W;0
