Nodo;Valor
Q0032;0.000122554
Q0050;0.00011855
Q0092;0.000200583
REP1;0.000235313
YAL001C;0.000162306
YAL002W;0.000552113
YAL003W;0.000270868
YAL005C;0.00017476
YAL007C;0.000755646
YAL009W;0.000437675
YAL010C;0.00063081
YAL012W;0.000388319
YAL013W;0.000122556
YAL015C;0.000624347
YAL016W;0.00125604
YAL017W;0.000517958
YAL019W;0.000435313
YAL021C;0.00104852
YAL023C;0.000437647
YAL024C;0.000340225
YAL025C;0.000120854
YAL026C;0.000169176
YAL027W;0.000673383
YAL029C;0.00111467
YAL032C;0.000808482
YAL033W;0.000266533
YAL034C;0.000436736
YAL035W;0.000973563
YAL036C;0.000269493
YAL041W;0.000508056
YAL042W;0.000154706
YAL043C;0.000791247
YAL044C;0.000437647
YAL047C;0.00012829
YAL049C;0.000414084
YAL053W;0.000730777
YAL056W;0.000437647
YAL059W;0.000627116
YAL061W;0.000282119
YAR002C-A;0.00056566
YAR002W;0.00012499
YAR003W;0.000907964
YAR007C;0.0012073
YAR009C;0.000127651
YAR014C;0.000454763
YAR015W;0.000437647
YAR018C;0.000224964
YAR019C;0.0003581
YAR042W;0.000144716
YAR044W;0.000438909
YAR073W;0.000222391
YBL002W;0.0017797
YBL003C;0.000357799
YBL004W;0.000917872
YBL007C;0.0010345
YBL008W;0.000116398
YBL015W;0.000179979
YBL016W;0.00021452
YBL017C;0.000404212
YBL018C;0.000266533
YBL021C;0.000270488
YBL022C;0.000486374
YBL023C;0.000424778
YBL024W;0.00037201
YBL026W;0.000703582
YBL029W;0.000133545
YBL030C;0.000184654
YBL032W;0.00080811
YBL033C;0.000437647
YBL034C;0.000155918
YBL035C;0.000828331
YBL036C;0.000612333
YBL037W;0.000774737
YBL038W;0.0015365
YBL039C;0.0013171
YBL041W;0.0002595
YBL044W;0.000135333
YBL045C;0.000975555
YBL046W;0.000487983
YBL047C;0.000694759
YBL049W;0.000891638
YBL050W;0.000297474
YBL051C;0.000318198
YBL056W;0.0010645
YBL058W;0.000539748
YBL061C;0.000142917
YBL063W;0.000437647
YBL064C;0.000466775
YBL066C;0.000142917
YBL074C;0.000209668
YBL075C;0.000172242
YBL076C;0.000611537
YBL080C;0.00015418
YBL084C;0.000143155
YBL085W;0.000336913
YBL087C;0.000649211
YBL088C;0.000216503
YBL090W;0.000207001
YBL091C;0.000122717
YBL093C;0.00141717
YBL101C;0.000437647
YBL104C;0.000321822
YBL105C;0.000321457
YBL108W;0.000127396
YBR001C;0.000149657
YBR007C;0.000437647
YBR010W;0.000255068
